file,model,split,eval_mode,threshold,l1_micro_f1,l1_macro_f1,l2_micro_f1,l2_macro_f1,l3_micro_f1,l3_macro_f1,l4_micro_f1,l4_macro_f1,l4_precision,l4_recall,rare_l4_micro_f1,n_l4_samples,ci_low,ci_high,ci_mean,ci_std,b2_l4_micro_f1,p_value,claim_safety_note
outputs/results/b1_esm2_fc_cluster_test_hier_results.json,b1_esm2_fc,cluster_test,hierarchical,0.5,0.9388,0.9232,0.853,0.4914,0.8281,0.3495,0.8428,0.0235,0.9513,0.7564,0.41,26275.0,,,,,,,valid OOD only if checkpoint trained on cluster_train
outputs/results/b2_esm2_hier_cluster_test_hier_results.json,b2_esm2_hier,cluster_test,hierarchical,0.5,0.9543,0.9498,0.8935,0.5379,0.8717,0.3818,0.8267,0.0294,0.9407,0.7373,0.3329,26275.0,,,,,,,valid OOD only if checkpoint trained on cluster_train
outputs/results/b3_contact_cluster_test_results.json,b3_contact,cluster_test,independent,0.5,0.9175,0.9022,0.8922,0.7858,0.894,0.7291,0.9282,0.0466,0.9896,0.874,0.5807,26275.0,,,,,,,valid OOD only if checkpoint trained on cluster_train
outputs/results/fusion_v2_cluster_test_hier_results.json,fusion_v2,cluster_test,hierarchical,0.5,0.9519,0.9404,0.916,0.6966,0.9129,0.6029,0.952,0.0907,0.9758,0.9293,0.8292,26275.0,,,,,,,valid OOD only if checkpoint trained on cluster_train
outputs/results/fusion_v3_cluster_test_hier_results.json,fusion_v3,cluster_test,hierarchical,0.5,0.9524,0.9397,0.9285,0.6604,0.9254,0.5919,0.9107,0.0633,0.9784,0.8518,0.5507,26275.0,,,,,,,valid OOD only if checkpoint trained on cluster_train
outputs/results/fusion_v3_cluster_test_results.json,fusion_v3,cluster_test,independent,,0.833,0.8145,0.7207,0.4994,0.7367,0.4182,0.3139,0.1103,,,0.1085,26275.0,,,,,,,valid OOD only if checkpoint trained on cluster_train
outputs/results/hitec_pretrained_cluster_test_results.json,hitec_pretrained,cluster_test,independent,,,,,,,,0.1338,,0.1151,0.1596,,,,,,,,,valid OOD only if checkpoint trained on cluster_train | prior/pretrained comparison has limited class/domain comparability
outputs/results/fusion_v2_new392_hier_results.json,fusion_v2,new392,hierarchical,0.5,0.9717,0.9625,0.9126,0.8523,0.8663,0.7707,0.6019,0.0138,0.8711,0.4598,0.4772,389.0,,,,,,,warning: overlaps current 2026 Swiss-Prot train; not clean external unless cutoff-controlled
outputs/results/new392_eval_ecbench_b2_hard_val_best.json,new392_eval_ecbench_b2_hard_val_best,new392,independent,,,,,,,,,,,,,,,,,,,,warning: overlaps current 2026 Swiss-Prot train; not clean external unless cutoff-controlled
outputs/results/b1_esm2_fc_price149_hier_results.json,b1_esm2_fc,price149,hierarchical,0.5,0.9103,0.9072,0.6966,0.4599,0.669,0.3371,0.0,0.0,0.0,0.0,0.0,145.0,,,,,,,no contact maps in current pipeline; structure path unavailable
outputs/results/b2_esm2_hier_price149_hier_results.json,b2_esm2_hier,price149,hierarchical,0.5,0.9241,0.907,0.7241,0.6069,0.6897,0.4499,0.0,0.0,0.0,0.0,0.0,145.0,,,,,,,no contact maps in current pipeline; structure path unavailable
outputs/results/fusion_v2_price149_hier_results.json,fusion_v2,price149,hierarchical,0.5,0.9379,0.9256,0.7862,0.6257,0.7655,0.526,0.0508,0.0008,0.102,0.0338,0.0354,145.0,,,,,,,no contact maps in current pipeline; structure path unavailable
outputs/results/bootstrap_ci_fusion_v2_price149.json,fusion_v2_price149,price149,bootstrap_ci,0.2,,,,,,,0.2269,,,,,145.0,0.1686,0.2866,0.2266,0.03,,,no contact maps in current pipeline; structure path unavailable
outputs/results/fusion_v2_price149_knn_results.json,fusion_v2_price149_knn,price149,knn_k1,,,,,,,,0.2662,,0.2893,0.2465,,,,,,,,,no contact maps in current pipeline; structure path unavailable
outputs/results/fusion_v2_price149_knn_results.json,fusion_v2_price149_knn,price149,knn_k10,,,,,,,,0.0404,,0.0714,0.0282,,,,,,,,,no contact maps in current pipeline; structure path unavailable
outputs/results/fusion_v2_price149_knn_results.json,fusion_v2_price149_knn,price149,knn_k20,,,,,,,,0.0408,,0.0741,0.0282,,,,,,,,,no contact maps in current pipeline; structure path unavailable
outputs/results/fusion_v2_price149_knn_results.json,fusion_v2_price149_knn,price149,knn_k3,,,,,,,,0.2262,,0.3165,0.1761,,,,,,,,,no contact maps in current pipeline; structure path unavailable
outputs/results/fusion_v2_price149_knn_results.json,fusion_v2_price149_knn,price149,knn_k5,,,,,,,,0.0923,,0.1698,0.0634,,,,,,,,,no contact maps in current pipeline; structure path unavailable
