query_accession,query_ec,query_l1,query_l2,query_l3,query_l4,nearest_train_accession,nearest_train_ec,nearest_cosine,same_l1,same_l2,same_l3,same_l4
C0HLB7,3.2.1.17,3,3.2,3.2.1,3.2.1.17,P29615,3.2.1.17,0.987191,True,True,True,True
C0HLB8,3.1.1.4,3,3.1,3.1.1,3.1.1.4,Q9PRP4,3.4.21.74,0.979622,True,False,False,False
A0A2L0VXR5,2.5.1.10;2.5.1.1;2.5.1.29,2,2.5,2.5.1,2.5.1.10,Q54BK1,2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29,0.979156,True,True,True,False
P0DPR2,2.3.2.27,2,2.3,2.3.2,2.3.2.27,Q68DV7,2.3.2.27,0.990476,True,True,True,True
P0DPT0,3.1.1.32,3,3.1,3.1.1,3.1.1.32,P0CH87,3.1.1.32,0.990738,True,True,True,True
P0DPS1,2.7.7.7,2,2.7,2.7.7,2.7.7.7,P10582,2.7.7.7,0.968775,True,True,True,True
C0HLF0,3.1.1.4,3,3.1,3.1.1,3.1.1.4,C0HKC4,3.1.1.4,0.991866,True,True,True,True
C0HLF7,3.1.1.4,3,3.1,3.1.1,3.1.1.4,C0HJL8,3.1.1.4,0.988149,True,True,True,True
P0DPS4,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P86389,3.1.1.4,0.99052,True,True,True,True
P0DQD1,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P0DKU4,3.1.1.4,0.988315,True,True,True,True
P0DPT7,3.1.1.4,3,3.1,3.1.1,3.1.1.4,C1JAR9,3.1.1.4,0.98804,True,True,True,True
P0DPT9,3.1.1.4,3,3.1,3.1.1,3.1.1.4,C1JAR9,3.1.1.4,0.988471,True,True,True,True
A0A2I6PJ05,2.5.1.10;2.5.1.1;2.5.1.29,2,2.5,2.5.1,2.5.1.10,P24322,2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29,0.986265,True,True,True,False
A0A383ZFX3,3.5.1.23,3,3.5,3.5.1,3.5.1.23,Q60HH4,3.5.1.23,0.992907,True,True,True,True
A0A2Z5WA18,1.17.7.4,1,1.17,1.17.7,1.17.7.4,Q94B35,1.17.7.4,0.983834,True,True,True,True
P0DSI2,3.1.1.32,3,3.1,3.1.1,3.1.1.32,Q68KK0,3.1.1.32,0.98657,True,True,True,True
P0DSN5,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P81494,3.4.22.1,0.979646,True,False,False,False
A0A3L6G998,4.2.3.57,4,4.2,4.2.3,4.2.3.57,C7E5W0,4.2.3.47,0.988377,True,True,True,False
A0A2S1WBY6,2.1.1.117,2,2.1,2.1.1,2.1.1.117,Q7XB11,2.1.1.116,0.986103,True,True,True,False
A0A2S1WC15,2.1.1.117,2,2.1,2.1.1,2.1.1.117,Q6WUC1,2.1.1.128,0.984925,True,True,True,False
A0A452E9Y6,1.11.1.7,1,1.11,1.11.1,1.11.1.7,P80025,1.11.1.7,0.995832,True,True,True,True
A0A2I7G3B3,1.1.1.347;1.1.1.144,1,1.1,1.1.1,1.1.1.347,B2NI93,1.1.1.347; 1.1.1.354,0.983688,True,True,True,True
A0A3G1DJK5,4.3.1.24,4,4.3,4.3.1,4.3.1.24,Q96V77,4.3.1.24,0.98842,True,True,True,True
A0A3G1DJL2,2.5.1.21,2,2.5,2.5.1,2.5.1.21,P53798,2.5.1.21,0.987806,True,True,True,True
A0A3G1DJF0,3.1.1.1,3,3.1,3.1.1,3.1.1.1,Q759T3,3.5.1.9,0.976456,True,False,False,False
A0A2I7G3B0,1.2.1.5,1,1.2,1.2.1,1.2.1.5,Q29490,1.2.1.3,0.986323,True,True,True,False
A0A2R6P624,2.4.1.91,2,2.4,2.4.1,2.4.1.91,Q66PF5,2.4.1.115,0.987042,True,True,True,False
A0A4D6Q4T7,1.14.11.9,1,1.14,1.14.11,1.14.11.9,Q05964,1.14.11.9,0.990787,True,True,True,True
A0A4D6Q9B0,1.14.11.9,1,1.14,1.14.11,1.14.11.9,Q05964,1.14.11.9,0.99004,True,True,True,True
C0HLL2,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P00606,3.1.1.4,0.989278,True,True,True,True
P0DQH9,1.4.3.2,1,1.4,1.4.3,1.4.3.2,B8DTW7,2.7.7.6,0.986692,False,False,False,False
A0A2U8QPE6,1.4.3.2,1,1.4,1.4.3,1.4.3.2,P81382,1.4.3.2,0.992,True,True,True,True
P9WF03,3.2.1.40,3,3.2,3.2.1,3.2.1.40,Q48727,3.2.1.23,0.968212,True,True,True,False
C0HLL8,1.11.1.9,1,1.11,1.11.1,1.11.1.9,P60540,3.5.4.19,0.971383,False,False,False,False
C0HLL7,2.5.1.18,2,2.5,2.5.1,2.5.1.18,Q6XUZ5,1.1.1.42,0.964489,False,False,False,False
A0A4P8GFV8,4.2.3.104,4,4.2,4.2.3,4.2.3.104,D3G0V0,6.2.1.14,0.982294,False,False,False,False
A0A2U8U2L5,4.2.3.104,4,4.2,4.2.3,4.2.3.104,O68943,1.18.6.1,0.98929,False,False,False,False
A0A5C1REZ4,1.2.1.3,1,1.2,1.2.1,1.2.1.3,P42757,1.2.1.8,0.982989,True,True,True,False
A0A5C1ZW08,3.1.1.4,3,3.1,3.1.1,3.1.1.4,Q6PXP0,3.1.1.4,0.974042,True,True,True,True
A0A5C1ZXT8,3.1.1.4,3,3.1,3.1.1,3.1.1.4,Q6PXP0,3.1.1.4,0.975274,True,True,True,True
A0A2K9RFY0,4.2.3.19,4,4.2,4.2.3,4.2.3.19,Q0JA82,4.2.3.19,0.98882,True,True,True,True
A0A2K9RFZ8,5.5.1.14,5,5.5,5.5.1,5.5.1.14,G3CCC0,4.2.1.133,0.987374,False,False,False,False
A0A5C2A2T2,3.1.1.4,3,3.1,3.1.1,3.1.1.4,Q6PXP0,3.1.1.4,0.975596,True,True,True,True
A0A384XHA3,4.3.1.24,4,4.3,4.3.1,4.3.1.24,O93967,4.3.1.24,0.987062,True,True,True,True
F6Q1T7,2.4.1.69;2.4.1.344,2,2.4,2.4.1,2.4.1.69,P19526,2.4.1.344,0.9881,True,True,True,False
A0A3L7I2I8,3.1.1.4;3.1.1.5;3.1.2.2,3,3.1,3.1.1,3.1.1.4,P97819,3.1.1.4,0.995518,True,True,True,True
P9WF02,1.2.4.4,1,1.2,1.2.4,1.2.4.4,Q55FN7,1.2.4.4,0.981852,True,True,True,True
C0HLL3,3.1.1.32,3,3.1,3.1.1,3.1.1.32,A2VBC4,3.1.1.32,0.991581,True,True,True,True
A0A2K3DU55,3.1.3.27,3,3.1,3.1.3,3.1.3.27,A7HU88,3.1.3.77,0.969952,True,True,True,False
C0HLL5,3.2.1.35,3,3.2,3.2.1,3.2.1.35,P49371,3.2.1.35,0.995742,True,True,True,True
P0DTE5,2.4.1.17,2,2.4,2.4.1,2.4.1.17,O02663,2.4.1.17,0.985893,True,True,True,True
P0DTE4,2.4.1.17,2,2.4,2.4.1,2.4.1.17,Q3SY77,2.4.1.17,0.978349,True,True,True,True
A0A348AXX5,3.5.1.4,3,3.5,3.5.1,3.5.1.4,P08158,3.5.1.4,0.984908,True,True,True,True
P9WEU6,3.5.5.1,3,3.5,3.5.5,3.5.5.1,P46010,3.5.5.1,0.983211,True,True,True,True
A0A5Q0QNH9,4.2.3.135,4,4.2,4.2.3,4.2.3.135,P0DL13,4.2.3.135,0.984535,True,True,True,True
A0A5Q0QN66,4.2.3.135,4,4.2,4.2.3,4.2.3.135,C9K2Q3,2.5.1.29; 4.2.3.43,0.977102,False,False,False,False
