query_accession,query_ec,nearest_train_accession,nearest_train_ec,nearest_cosine,same_l1,same_l2,same_l3,same_l4
C0HLB7,3.2.1.17,P37160,3.2.1.17,0.994884,True,True,True,True
C0HLB8,3.1.1.4,Q03284,3.5.1.5,0.888666,True,False,False,False
A0A2L0VXR5,2.5.1.10;2.5.1.1;2.5.1.29,Q6F5E6,2.5.1.1;2.5.1.10;2.5.1.29,0.986437,True,True,True,True
P0DPR2,2.3.2.27,Q9CAU7,2.7.11.1,0.965698,True,False,False,False
P0DPT0,3.1.1.32,P0CH87,3.1.1.32,0.999568,True,True,True,True
P0DPS1,2.7.7.7,Q9MTQ4,1.97.1.12,0.956623,False,False,False,False
C0HLF0,3.1.1.4,C0HJC1,3.1.1.4,0.996936,True,True,True,True
C0HLF7,3.1.1.4,P14419,3.1.1.4,0.913754,True,True,True,True
P0DPS4,3.1.1.4,P21789,3.1.1.4,0.994083,True,True,True,True
P0DQD1,3.1.1.4,P0DMK1,3.1.1.4,0.952664,True,True,True,True
P0DPT7,3.1.1.4,C1JAR9,3.1.1.4,0.9867,True,True,True,True
P0DPT9,3.1.1.4,C1JAR9,3.1.1.4,0.996598,True,True,True,True
A0A2I6PJ05,2.5.1.10;2.5.1.1;2.5.1.29,Q8VWJ1,2.5.1.115,0.982188,True,True,True,False
A0A383ZFX3,3.5.1.23,Q17QB3,3.5.1.23,0.997049,True,True,True,True
A0A2Z5WA18,1.17.7.4,Q8L5K3,4.2.3.20,0.95917,False,False,False,False
P0DSI2,3.1.1.32,Q3E9F5,2.3.2.27,0.938027,False,False,False,False
P0DSN5,3.1.1.4,P83918,1.11.1.13,0.962509,False,False,False,False
A0A3L6G998,4.2.3.57,Q0VHD6,4.2.3.77,0.995672,True,True,True,False
A0A2S1WBY6,2.1.1.117,Q7XB11,2.1.1.116,0.995728,True,True,True,False
A0A2S1WC15,2.1.1.117,Q6WUC1,2.1.1.128,0.987837,True,True,True,False
A0A452E9Y6,1.11.1.7,P22079,1.11.1.7,0.999397,True,True,True,True
A0A2I7G3B3,1.1.1.347;1.1.1.144,P46415,1.1.1.1;1.1.1.284;1.1.1.73,0.992248,True,True,True,False
A0A3G1DJK5,4.3.1.24,Q6GZ04,4.3.1.24;5.4.3.10,0.980282,True,True,True,True
A0A3G1DJL2,2.5.1.21,P53799,2.5.1.21,0.979395,True,True,True,True
A0A3G1DJF0,3.1.1.1,Q47GC1,3.7.1.14,0.933829,True,False,False,False
A0A2I7G3B0,1.2.1.5,P41751,1.2.1.3,0.995408,True,True,True,False
A0A2R6P624,2.4.1.91,P51094,2.4.1.115,0.993171,True,True,True,False
A0A4D6Q4T7,1.14.11.9,Q07353,1.14.11.9,0.995306,True,True,True,True
A0A4D6Q9B0,1.14.11.9,Q07353,1.14.11.9,0.995139,True,True,True,True
C0HLL2,3.1.1.4,P48076,3.1.1.4,0.98431,True,True,True,True
P0DQH9,1.4.3.2,A7MH22,1.6.5.11,0.970822,True,False,False,False
A0A2U8QPE6,1.4.3.2,Q6TGQ8,1.4.3.2,0.996198,True,True,True,True
P9WF03,3.2.1.40,Q9LW83,2.7.11.1,0.942786,False,False,False,False
C0HLL8,1.11.1.9,P83657,1.11.1.6,0.956913,True,True,True,False
C0HLL7,2.5.1.18,P19048,1.6.5.3,0.96302,False,False,False,False
A0A4P8GFV8,4.2.3.104,Q8MIT6,2.7.11.1,0.966083,False,False,False,False
A0A2U8U2L5,4.2.3.104,Q8MIT6,2.7.11.1,0.972723,False,False,False,False
A0A5C1REZ4,1.2.1.3,Q6L285,1.2.1.89,0.99049,True,True,True,False
A0A5C1ZW08,3.1.1.4,Q5TM51,2.3.2.27,0.962889,False,False,False,False
A0A5C1ZXT8,3.1.1.4,Q5TM51,2.3.2.27,0.963865,False,False,False,False
A0A2K9RFY0,4.2.3.19,G3CCC1,4.2.3.140,0.990174,True,True,True,False
A0A2K9RFZ8,5.5.1.14,G3CCC0,4.2.1.133,0.983528,False,False,False,False
A0A5C2A2T2,3.1.1.4,Q5TM51,2.3.2.27,0.960236,False,False,False,False
A0A384XHA3,4.3.1.24,Q96V77,4.3.1.24,0.983403,True,True,True,True
F6Q1T7,2.4.1.69;2.4.1.344,Q866E4,2.4.1.344,0.974573,True,True,True,True
A0A3L7I2I8,3.1.1.4;3.1.1.5;3.1.2.2,P97570,3.1.1.4,0.998918,True,True,True,True
