run,top_k,n,hit_rate,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
seed42_base,1,16725,0.051121076233183856,0.05074334549986646,0.0023982707138763258,0.051121076233183856,0.0503711558854719,1.0,1.0
seed42_base,3,16725,0.09835575485799701,0.04908487095861442,0.0022310793341437482,0.032845042351768806,0.0970896665488394,3.0,3.0
seed42_base,5,16725,0.11928251121076233,0.03982146939830415,0.001980956172716414,0.02395216741405082,0.1180040061270178,5.0,5.0
seed42_base,10,16725,0.14379671150971599,0.026196369636963698,0.0020161329950977346,0.014427503736920777,0.14215859549899848,10.0,10.0
seed43,1,16725,0.048789237668161435,0.04842873675776729,0.0024722198385547216,0.048789237668161435,0.048073524213503006,1.0,1.0
seed43,3,16725,0.10020926756352766,0.050008190739996135,0.002581703890025137,0.03346287992027902,0.0989159891598916,3.0,3.0
seed43,5,16725,0.11958146487294469,0.03988111213829163,0.0020783450407758646,0.023988041853512707,0.11818074702486155,5.0,5.0
seed43,10,16725,0.15037369207772794,0.02739056800416884,0.00200957345578535,0.015085201793721973,0.14863909508660303,10.0,10.0
seed44,1,16725,0.051121076233183856,0.05074334549986646,0.002154109132870025,0.051121076233183856,0.0503711558854719,1.0,1.0
seed44,3,16725,0.09452914798206279,0.047178662377697356,0.0024031449966041445,0.0315695067264574,0.09331919406150584,3.0,3.0
seed44,5,16725,0.12197309417040358,0.04069622958478713,0.0021658384959900197,0.02447832585949178,0.12059620596205962,5.0,5.0
seed44,10,16725,0.14230194319880418,0.02591410456835157,0.0018139059730529852,0.01427204783258595,0.14062684105101922,10.0,10.0
