cluster_id,size,split,representative
0,2111,val,A0A320
1,72,train,A1RS16
2,75,train,A0AHS0
3,16,train,A0A0H3KP73
4,73,train,A1AHW4
5,7,test,O05755
6,1,train,O06458
7,1,train,O06745
8,73,train,A1A8P2
9,1022,train,A0AJ21
10,10,train,O68940
11,26,train,E6ENP9
12,1,train,P12260
13,1,train,P12298
14,1,train,P12321
15,1,train,P12343
16,3,train,P12364
17,2,train,P12063
18,1,train,P28784
19,3,val,A7A1P0
20,20,val,A0A044RE18
21,1,val,P43870
22,15,train,A5F5Y7
23,3,train,O26051
24,1,train,P44121
25,2,train,P18200
26,5,train,C8WJZ5
27,20,test,O05956
28,9,train,P06710
29,5,train,P52271
30,39,test,A8J0J0
31,496,train,A0K730
32,1,train,Q26896
33,31,train,E9CWP5
34,1,train,Q27450
35,7,val,O44249
36,1,val,Q27543
37,13,train,O43007
38,3,train,O75061
39,27,train,A2BTH1
40,3,train,Q3E8W4
41,1,train,Q3EDG5
42,1,val,Q42676
43,102,test,A0A4W3
44,1,train,Q43090
45,20,test,A1SGT4
46,4,train,P70873
47,2,train,Q27701
48,5,train,P0A4M1
49,1,train,Q54B33
50,7,train,O95302
51,2,train,Q70IY1
52,1,train,Q71F54
53,4,train,P43154
54,1,train,Q8KQN8
55,1,test,Q8L0V4
56,1,train,Q8L0Z4
57,2,train,Q70JP0
58,1,train,Q8L2S1
59,1,train,Q8L3A9
60,170,train,A0A386
61,1,train,Q8L539
62,75,train,A8XLL3
63,3,train,H8F3R6
64,16,train,B0RVK3
65,1,train,Q8VY10
66,11,train,A0JMU5
67,12,val,P00908
68,1,train,Q923S6
69,94,train,A0QX20
70,1,train,Q92445
71,8,train,A4IIY1
72,1,test,Q925F4
73,4,val,P76015
74,19,train,P04635
75,3,train,Q6KZM5
76,1,train,Q9I8N6
77,1,train,Q9I9M2
78,3,train,A6QNK1
79,8,train,A5A779
80,2,train,Q14296
81,22,test,A5DB51
82,1,train,Q9Y4L5
83,6,train,Q4U5R4
84,4,train,Q5E9Y9
85,3,train,P56677
86,3,train,Q9WTK2
87,3,train,A4IFD0
88,3,test,Q0IID7
89,15,train,A1KNJ7
90,90,train,A0R0S4
91,1,test,Q9Y7L7
92,2,train,P40308
93,1,train,Q9Y7Q6
94,1,train,Q9Y7R4
95,13,train,P53215
96,6,train,F4J4C8
97,1,train,Q9Y804
98,7,train,A0Q5Y6
99,27,train,A0K516
100,1,train,A5D7F8
101,1,train,A5D8Q0
102,1,train,A5D8S5
103,29,train,A5DCB6
104,1,train,A5DLR3
105,2,train,A7Z4Y0
106,4,train,A8W969
107,4,train,A8WJR8
108,1,train,A8X775
109,3,train,A8XI75
110,306,train,A0KNV3
111,1,train,O19098
112,14,val,A1A5Z0
113,3,train,O19175
114,259,val,A0L8B9
115,1,train,O20163
116,150,test,A2QMY6
117,1,train,O67475
118,108,train,A2X8Q3
119,1,val,P07527
120,2,train,P07603
121,1,train,P07635
122,39,train,B2ZGJ1
123,84,train,O26337
124,7,test,P07850
125,1,train,P07855
126,1,train,P20699
127,5,train,P20165
128,1,train,P20910
129,11,train,O27233
130,8,train,O66188
131,1,train,P21325
132,3,train,O15886
133,1,train,P34030
134,1,train,P34100
135,1,test,P34102
136,1,train,P34103
137,27,train,B2GV87
138,23,train,A1L1L3
139,102,test,A0R5D9
140,1,train,P34218
141,1,train,P34314
142,1,test,P34442
143,22,train,O60512
144,2,val,P48839
145,1,test,P48904
146,3,val,P30305
147,5,train,A5D7P0
148,20,val,O25867
149,5,train,O86109
150,3,train,P37711
151,1,train,Q05580
152,1,train,Q05609
153,1,train,Q05622
