model,display_model,threshold,frequency_bin,class_count,micro_f1,macro_f1,precision,recall,support,predicted
B1_ESM2_only,B1 ESM-2 only,0.05,unseen,1335,0.0,0.0,0.0,0.0,5352,0
B1_ESM2_only,B1 ESM-2 only,0.05,1-5,2281,0.0,0.0,0.0,0.0,4049,0
B1_ESM2_only,B1 ESM-2 only,0.05,6-25,907,0.0,0.0,0.0,0.0,2483,0
B1_ESM2_only,B1 ESM-2 only,0.05,26-100,403,0.08473711077080144,0.013637905523093333,0.2664526484751204,0.050379362670713204,3295,623
B1_ESM2_only,B1 ESM-2 only,0.05,>100,381,0.1242186460965554,0.03237124911473012,0.07052782602129427,0.5203342618384401,1795,13243
B3_contact_only,B3 contact only,0.12,unseen,1335,0.0,0.0,0.0,0.0,5352,0
B3_contact_only,B3 contact only,0.12,1-5,2281,0.005544005544005544,4.9423620502973335e-05,0.009286128845037725,0.00395159298592245,4049,1723
B3_contact_only,B3 contact only,0.12,6-25,907,0.04483074107959744,0.002934964164615893,0.05187930121757544,0.03946838501812324,2483,1889
B3_contact_only,B3 contact only,0.12,26-100,403,0.10805330243337197,0.006918281796186348,0.10335272928789138,0.11320182094081942,3295,3609
B3_contact_only,B3 contact only,0.12,>100,381,0.1824975417895772,0.020661236883761622,0.14103343465045592,0.2584958217270195,1795,3290
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,unseen,1335,0.0,0.0,0.0,0.0,5352,0
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,1-5,2281,0.0038022813688212928,0.0004459197094006388,0.050314465408805034,0.001975796492961225,4049,159
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,6-25,907,0.24838393731635652,0.00829824591212882,0.2418001525553013,0.25533628674989933,2483,2622
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,26-100,403,0.3277872803607526,0.032529621209117274,0.3360969387755102,0.31987860394537176,3295,3136
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,>100,381,0.21669550173010385,0.042781655879547506,0.1344425063732725,0.5582172701949861,1795,7453
