l1_name,difficulty_bin,n_candidates,mean_fusion_hit,median_train_count
Hydrolases,1-5,76,0.3508771994736842,2.0
Hydrolases,26-100,323,0.44272447027863776,73.0
Hydrolases,6-25,397,0.5222502316876574,9.0
Hydrolases,>100,225,0.5644444592,392.0
Isomerases,1-5,1,0.33333334,4.0
Isomerases,26-100,1,0.33333334,69.0
Isomerases,6-25,2,0.50000002,12.5
Isomerases,>100,4,0.33333334,292.0
Ligases,1-5,19,0.33333334,4.0
Lyases,26-100,15,0.422222236,54.0
Lyases,>100,7,0.33333334,282.0
Oxidoreductases,1-5,19,0.33333334,3.0
Oxidoreductases,26-100,133,0.5914787209022556,36.0
Oxidoreductases,6-25,14,0.5952381185714285,8.0
Oxidoreductases,>100,34,0.4411764788235294,290.0
Transferases,1-5,67,0.38308458776119403,3.0
Transferases,26-100,106,0.685534606226415,55.0
Transferases,6-25,210,0.44603175542857143,15.0
Transferases,>100,177,0.6082862745762712,1656.0
