model,display_model,threshold,l1,l1_name,n_samples,mean_sample_f1,median_sample_f1,micro_f1,macro_f1,precision,recall,support,predicted
B1_ESM2_only,B1 ESM-2 only,0.05,1,Oxidoreductases,2082,0.05962215818123597,0.0,0.1157074340527578,0.0008091713187442154,0.16300675675675674,0.08968401486988847,2152,1184
B1_ESM2_only,B1 ESM-2 only,0.05,2,Transferases,5315,0.03755722797115084,0.0,0.06350577816178853,0.0012930746148617186,0.07652264445601249,0.05427358316411298,5417,3842
B1_ESM2_only,B1 ESM-2 only,0.05,3,Hydrolases,5248,0.04819069396051103,0.0,0.07771609833465504,0.0007738895185111617,0.08176887776387151,0.07404608991310918,5294,4794
B1_ESM2_only,B1 ESM-2 only,0.05,4,Lyases,1123,0.10157316711190263,0.0,0.1288404360753221,0.0002451935624693508,0.14672686230248308,0.11484098939929328,1132,886
B1_ESM2_only,B1 ESM-2 only,0.05,5,Isomerases,397,0.21326616288832914,0.0,0.24684431977559612,0.00046043873885373543,0.27936507936507937,0.22110552763819097,398,315
B1_ESM2_only,B1 ESM-2 only,0.05,6,Ligases,2560,0.0010416666666666667,0.0,0.0011057869517139699,0.00032661264995917345,0.001054481546572935,0.001162340178225494,2581,2845
B3_contact_only,B3 contact only,0.12,1,Oxidoreductases,2082,0.03669548511047071,0.0,0.05072886297376093,0.00028474378747614615,0.06807511737089202,0.040427509293680296,2152,1278
B3_contact_only,B3 contact only,0.12,2,Transferases,5315,0.05417999372844151,0.0,0.06064244971480036,0.00124468644118611,0.06621503496503496,0.05593501938342256,5417,4576
B3_contact_only,B3 contact only,0.12,3,Hydrolases,5248,0.06006415142276422,0.0,0.09667823500247892,0.0008315095015401132,0.14059120403749098,0.07366830374008311,5294,2774
B3_contact_only,B3 contact only,0.12,4,Lyases,1123,0.0703176016622143,0.0,0.11352040816326531,0.000303768540442456,0.20412844036697247,0.07862190812720848,1132,436
B3_contact_only,B3 contact only,0.12,5,Isomerases,397,0.19664147774979007,0.0,0.2439759036144578,0.00026043222557720205,0.30451127819548873,0.20351758793969849,398,266
B3_contact_only,B3 contact only,0.12,6,Ligases,2560,0.000390625,0.0,0.000531632110579479,0.00012562024998429746,0.000846740050804403,0.0003874467260751647,2581,1181
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,1,Oxidoreductases,2082,0.19970647881310705,0.0,0.2611758331075589,0.0018494260739614515,0.31319038336582194,0.22397769516728624,2152,1539
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,2,Transferases,5315,0.09946779049319031,0.0,0.14971687429218572,0.00340587172420577,0.19367125695868737,0.12202326010707033,5417,3413
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,3,Hydrolases,5248,0.1943001717963608,0.0,0.25756484149855907,0.0017368274075654092,0.24612736660929432,0.27011711371363806,5294,5810
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,4,Lyases,1123,0.02880888775813086,0.0,0.0468445022771633,0.0005485554580040545,0.08888888888888889,0.03180212014134275,1132,405
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,5,Isomerases,397,0.20235096557514692,0.0,0.2317596566523605,0.0005787504374276562,0.2691029900332226,0.20351758793969849,398,301
Fusion_ESM2_contact,Fusion ESM-2 + contact,0.05,6,Ligases,2560,0.001584201388888889,0.0,0.003569038590229757,0.0003800909849524886,0.004206098843322818,0.0030995738086013174,2581,1902
