model,threshold,n_rare_classes,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B1_ESM2_only,0.01,3028,0.0006195786864931846,0.0001675099790642332,0.0008004268943436499,0.0005053908355795149,0.22409566517189836,0.0
B1_ESM2_only,0.02,3028,0.0,0.0,0.0,0.0,0.04017937219730942,0.0
B1_ESM2_only,0.03,3028,0.0,0.0,0.0,0.0,0.014469357249626308,0.0
B1_ESM2_only,0.04,3028,0.0,0.0,0.0,0.0,0.006278026905829596,0.0
B1_ESM2_only,0.05,3028,0.0,0.0,0.0,0.0,0.003288490284005979,0.0
B1_ESM2_only,0.06,3028,0.0,0.0,0.0,0.0,0.0020926756352765323,0.0
B1_ESM2_only,0.07,3028,0.0,0.0,0.0,0.0,0.0009566517189835576,0.0
B1_ESM2_only,0.08,3028,0.0,0.0,0.0,0.0,0.00035874439461883406,0.0
B1_ESM2_only,0.09,3028,0.0,0.0,0.0,0.0,0.00017937219730941703,0.0
B1_ESM2_only,0.1,3028,0.0,0.0,0.0,0.0,0.0001195814648729447,0.0
B1_ESM2_only,0.11,3028,0.0,0.0,0.0,0.0,5.979073243647235e-05,0.0
B1_ESM2_only,0.12,3028,0.0,0.0,0.0,0.0,5.979073243647235e-05,0.0
B1_ESM2_only,0.13,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.14,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.15,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.16,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.17,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.18,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.19,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.2,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.21,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.22,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.23,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.24,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.25,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.26,3028,0.0,0.0,0.0,0.0,0.0,0.0
