model,mode,threshold,top_k,n,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B1_ESM2_only,threshold,0.01,,16725,0.03324668419342451,0.0019440700474383657,0.01900572451409176,0.13261458701543538,7.081494768310912,5.0
B1_ESM2_only,threshold,0.02,,16725,0.05269836296702436,0.0026802523452777024,0.03589338682486503,0.09909273005773536,2.801853512705531,2.0
B1_ESM2_only,threshold,0.03,,16725,0.0641682149816468,0.00295112996763712,0.05213549337260678,0.08342170378225522,1.623916292974589,1.0
B1_ESM2_only,threshold,0.04,,16725,0.06949590209947235,0.003098836550782554,0.06636646295700654,0.07293507717685872,1.115336322869955,1.0
B1_ESM2_only,threshold,0.05,,16725,0.07133592736705577,0.0033596234856828316,0.07933073705466609,0.06480499587604571,0.8290582959641256,0.0
B1_ESM2_only,threshold,0.06,,16725,0.06976910429623275,0.0034195382672993248,0.08869501999272991,0.057499705431836926,0.6579372197309417,0.0
B1_ESM2_only,threshold,0.07,,16725,0.06710536383809014,0.003386670619679101,0.09570056743780009,0.05166725580299281,0.5479222720478326,0.0
B1_ESM2_only,threshold,0.08,,16725,0.06499095113613512,0.0032962144115197866,0.1023951336966164,0.04760221515258631,0.4718086696562033,0.0
B1_ESM2_only,threshold,0.09,,16725,0.06269330435509488,0.0032393790626444856,0.10788262370540852,0.04418522446094026,0.4156651718983558,0.0
B1_ESM2_only,threshold,0.1,,16725,0.061975970265364326,0.0030309110990313706,0.1163205710577547,0.04224107458465889,0.36855007473841556,0.0
B1_ESM2_only,threshold,0.11,,16725,0.06240304923990604,0.002868908835331354,0.1259617105027733,0.04147519736066926,0.33417040358744393,0.0
B1_ESM2_only,threshold,0.12,,16725,0.06192650183067396,0.0028982048400504677,0.13303554088172462,0.04035583834099211,0.3078624813153961,0.0
B1_ESM2_only,threshold,0.13,,16725,0.06128749827196903,0.0026651382257040527,0.14068119314575842,0.039177565688700365,0.2826307922272048,0.0
B1_ESM2_only,threshold,0.14,,16725,0.060784588768878295,0.0024258184429727303,0.14729209154769998,0.03829386119948156,0.26385650224215246,0.0
B1_ESM2_only,threshold,0.15,,16725,0.05993645976575466,0.0024721560343315707,0.15358444714459296,0.03723341581241899,0.2460388639760837,0.0
B1_ESM2_only,threshold,0.16,,16725,0.05950952632336708,0.0023279570985570166,0.1604970230390888,0.03652645222104395,0.23097159940209266,0.0
B1_ESM2_only,threshold,0.17,,16725,0.058994760333786145,0.0023890954390973188,0.16712479384277076,0.035819488629668904,0.2175186846038864,0.0
B1_ESM2_only,threshold,0.18,,16725,0.058161167139919714,0.002453841147699278,0.17207415990730013,0.03499469777306469,0.20639760837070253,0.0
B1_ESM2_only,threshold,0.19,,16725,0.05800669686822927,0.002285341520414129,0.17666466706658668,0.034700129609991755,0.1993423019431988,0.0
B1_ESM2_only,threshold,0.2,,16725,0.05755609490316509,0.0021837024958047168,0.1807153965785381,0.034228820549075056,0.19222720478325858,0.0
B1_ESM2_only,threshold,0.21,,16725,0.05744489877331207,0.0021401382336849544,0.18701298701298702,0.033934252386002124,0.18415545590433482,0.0
B1_ESM2_only,threshold,0.22,,16725,0.05732068463584802,0.0021452206585401163,0.1936249576127501,0.033639684222929185,0.17632286995515695,0.0
B1_ESM2_only,threshold,0.23,,16725,0.05735925271396112,0.0021768692878008974,0.2006358177322501,0.033462943325085426,0.1692675635276532,0.0
B1_ESM2_only,threshold,0.24,,16725,0.05687588868576071,0.0021560947348003216,0.20603384841795438,0.03299163426416873,0.16251121076233183,0.0
B1_ESM2_only,threshold,0.25,,16725,0.05634377870776769,0.0021545296538975165,0.21068702290076335,0.032520325203252036,0.15665171898355754,0.0
B1_ESM2_only,threshold,0.26,,16725,0.05573484964909585,0.00215630330646198,0.21358460934432666,0.03204901614233534,0.15228699551569508,0.0
B1_ESM2_only,threshold,0.27,,16725,0.05569854833727994,0.0021610026034181843,0.22063621533442088,0.03187227524449158,0.1466068759342302,0.0
B1_ESM2_only,threshold,0.28,,16725,0.05492629945694337,0.0021516156108177024,0.22490470139771285,0.03128313891834571,0.1411659192825112,0.0
B1_ESM2_only,threshold,0.29,,16725,0.05434330839567747,0.0019344223279508508,0.22999120492524186,0.03081182985742901,0.1359641255605381,0.0
B1_ESM2_only,threshold,0.3,,16725,0.05403150099092521,0.001928636846083594,0.23545454545454544,0.030517261694356073,0.13153961136023917,0.0
B1_ESM2_only,threshold,0.31,,16725,0.05418976880426823,0.001937305074126272,0.2416044776119403,0.030517261694356073,0.1281913303437967,0.0
B1_ESM2_only,threshold,0.32,,16725,0.0536877495272116,0.0018940451998376467,0.2478176527643065,0.030104866266053965,0.12328849028400599,0.0
B1_ESM2_only,threshold,0.33,,16725,0.053289716667546026,0.0018301956991752793,0.25517938352703384,0.029751384470366442,0.11832585949177878,0.0
B1_ESM2_only,threshold,0.34,,16725,0.05307203389830508,0.0016197741650747293,0.26285414480587616,0.029515729939908093,0.11396113602391629,0.0
