model,mode,threshold,top_k,n,hit_rate,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B1_ESM2_only,topk,,1,16725,0.051121076233183856,0.05074334549986646,0.0023982707138763258,0.051121076233183856,0.0503711558854719,1.0,1.0
B1_ESM2_only,topk,,3,16725,0.09835575485799701,0.04908487095861442,0.0022310793341437482,0.032845042351768806,0.0970896665488394,3.0,3.0
B1_ESM2_only,topk,,5,16725,0.11928251121076233,0.03982146939830415,0.001980956172716414,0.02395216741405082,0.1180040061270178,5.0,5.0
B1_ESM2_only,topk,,10,16725,0.14379671150971599,0.026196369636963698,0.0020161329950977346,0.014427503736920777,0.14215859549899848,10.0,10.0
B3_contact_only,topk,,1,16725,0.06726457399103139,0.06676755986824535,0.0025072645081420214,0.06726457399103139,0.0662778366914104,1.0,1.0
B3_contact_only,topk,,3,16725,0.10840059790732437,0.05417802201075222,0.002887781968056143,0.036253114100647736,0.10716389772593378,3.0,3.0
B3_contact_only,topk,,5,16725,0.12705530642750373,0.04240598813109474,0.0028377932265714056,0.0255067264573991,0.1256627783669141,5.0,5.0
B3_contact_only,topk,,10,16725,0.1522272047832586,0.02772711481674483,0.0024828468635043153,0.015270553064275038,0.15046541769765523,10.0,10.0
Fusion_ESM2_contact,topk,,1,16725,0.1368609865470852,0.13584972847858987,0.0062015037554981065,0.1368609865470852,0.13485330505478968,1.0,1.0
Fusion_ESM2_contact,topk,,3,16725,0.23862481315396114,0.11916782081639339,0.005427964889118849,0.07974090682610863,0.23571344409096265,3.0,3.0
Fusion_ESM2_contact,topk,,5,16725,0.2709715994020927,0.09041839382101213,0.005130715979406114,0.054385650224215244,0.2679392011311417,5.0,5.0
Fusion_ESM2_contact,topk,,10,16725,0.31665171898355754,0.05775577557755776,0.004698163818824066,0.03180866965620329,0.3134205255096029,10.0,10.0
