uid,seq_len,true_ecs,true_l1,esm2_pred_ecs,esm2_hit,contact_only_pred_ecs,contact_only_hit,contactec_pred_ecs_recomputed,contactec_hit_recomputed,hitec_pred_ecs
P0DPK1,1306,3.4.24.69,3,,False,,False,3.4.24.69,True,3.4.24.69
C0HLB7,142,3.2.1.17,3,3.2.1.17,True,3.2.1.17,True,3.2.1.17,True,3.2.1.17
C0HLB8,32,3.1.1.4,3,,False,,False,,False,3.1.1.4
A0A2L0VXR5,350,2.5.1.1;2.5.1.10;2.5.1.29,2,,False,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29
P0DPR2,689,2.3.2.27,2,,False,,False,2.3.2.27,True,2.3.2.27
P0DPT0,301,3.1.1.32,3,,False,,False,3.1.1.32,True,3.1.1.32
P0DPS1,866,2.7.7.7,2,2.7.7.7,True,,False,2.7.7.7,True,2.7.7.7
C0HLF0,121,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
C0HLF7,107,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DPS4,120,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DQD1,30,3.1.1.4,3,,False,,False,3.1.1.4,True,3.1.1.4
P0DPT7,147,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DPT9,147,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DPT8,28,3.1.1.4,3,,False,,False,3.1.1.4,True,3.1.1.4
A0A2I6PJ05,384,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10,True,2.5.1.1;2.5.1.10,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29
A0A383ZFX3,395,3.5.1.23,3,,False,,False,3.5.1.23,True,3.5.1.23
A0A2Z5WA18,502,1.17.7.4,1,,False,,False,1.17.7.4,True,1.17.7.4
P0DSI2,379,3.1.1.32,3,,False,,False,3.1.1.32,True,3.1.1.32
P0DSN5,36,3.1.1.4,3,,False,,False,,False,3.1.1.4
A0A3L6G998,547,4.2.3.57,4,,False,,False,,False,4.2.3.57
A0A2S1WBY6,356,2.1.1.117,2,,False,,False,,False,2.1.1.117
A0A2S1WC15,339,2.1.1.117,2,,False,,False,2.1.1.128,False,2.1.1.116;2.1.1.117;2.1.1.352
A0A452E9Y6,712,1.11.1.7,1,,False,,False,1.11.1.7,True,1.11.1.7
A0A2I7G3B3,379,1.1.1.144;1.1.1.347,1,1.1.1.1,False,1.1.1.1,False,1.1.1.1;1.1.1.284,False,1.1.1.144;1.1.1.347
