split_a,split_b,n_a,n_b,overlap_n,overlap_examples
cluster_test,cluster_train,30398,210149,0,
cluster_test,cluster_val,30398,29789,0,
cluster_test,new392,30398,389,24,A0A1D8PC43;A0A1D8PH78;A6NNS2;B1VB81;B1XJV9;B4YA15;B8MKR3;D3ZGP9;G5EEU2;I1S130
cluster_test,price149,30398,145,0,
cluster_test,test,30398,27034,2971,A0A0A7HFE1;A0A0C3VJP4;A0A0C9VD04;A0A0F7CUE8;A0A0F7GGT4;A0A0G2Q9D6;A0A0K2H9D8;A0A0N9HP11;A0A0P0V5U9;A0A0U3BRC5
cluster_test,train,30398,216268,24408,A0A024BTN9;A0A024RXP8;A0A024SC78;A0A024SNB7;A0A031WDE4;A0A059Q4T4;A0A061AE05;A0A061DFA8;A0A061DFM8;A0A061DM17
cluster_test,val,30398,27034,3019,A0A061FDP1;A0A0C1E1L9;A0A0C4FEI8;A0A0D2L718;A0A0E3KBH3;A0A0J9WZF0;A0A0S2PMA8;A0A1B4XBG5;A0A1L7VZE7;A0A1U9YHZ9
cluster_train,cluster_val,210149,29789,0,
cluster_train,new392,210149,389,241,A0A011QK89;A0A067XR63;A0A067XRK9;A0A067YMX8;A0A075HNX4;A0A098DJ84;A0A0A7AAW9;A0A0E0SNE8;A0A0E0SP71;A0A0E3T3B5
cluster_train,price149,210149,145,0,
cluster_train,test,210149,27034,21058,A0A011QK89;A0A024B3D0;A0A059WI14;A0A061IR73;A0A067FT93;A0A067XMP1;A0A067XR63;A0A068ACU3;A0A068Q605;A0A068Q609
cluster_train,train,210149,216268,167971,A0A017SE81;A0A017SEF3;A0A017SEY2;A0A017SFB8;A0A017SGC7;A0A017SPL2;A0A017SR40;A0A023GS28;A0A023GS29;A0A023I4D6
cluster_train,val,210149,27034,21120,A0A017SP50;A0A023I4C8;A0A024B2V6;A0A024B3G5;A0A024SMV2;A0A044RE18;A0A060LAL9;A0A060SMC0;A0A067E1K2;A0A067XML2
cluster_val,new392,29789,389,124,A0A0D1CD96;A0A0D4D912;A0A0P0ZBS7;A0A142BX70;A0A1D8PEL1;A0A1D8PIC7;A0A1D8PJ25;A0A1V0E492;A0A2R4QKX7;A5Y5L5
cluster_val,price149,29789,145,0,
cluster_val,test,29789,27034,3005,A0A0D1CRD0;A0A0D4D912;A0A0E0S977;A0A0E3D8K9;A0A0E3D8N0;A0A0E3D8P5;A0A0F7TZE0;A0A0G3FWY4;A0A0H3AFM6;A0A0H3C7E9
cluster_val,train,29789,216268,23889,A0A009IHW8;A0A017TC06;A0A059WLZ7;A0A060S684;A0A067XGX8;A0A067XH53;A0A067XMT3;A0A068Q5Q5;A0A072TK64;A0A072ULZ1
cluster_val,val,29789,27034,2895,A0A084API6;A0A097ZPD8;A0A0G2L7I0;A0A0K0VEZ4;A0A0M9VUG7;A0A0P0ZBS7;A0A1B3PEJ0;A0A1B4XBI1;A0A1D6LTV0;A0A1D8PIC7
new392,price149,389,145,0,
new392,test,389,27034,38,A0A011QK89;A0A067XR63;A0A0D4D912;A0SJQ5;B0XMC1;B1XJV9;D4MUV9;F2XF93;I1RE80;I1RPE5
new392,train,389,216268,307,A0A067YMX8;A0A098DJ84;A0A0A7AAW9;A0A0D1CD96;A0A0E0SNE8;A0A0E0SP71;A0A0E3T3B5;A0A0E3T552;A0A0H2USC0;A0A0H2USG1
new392,val,389,27034,44,A0A067XRK9;A0A075HNX4;A0A0P0ZBS7;A0A0U5GNT1;A0A1D8PIC7;A0A1D8PJ25;A0A4Y6HUI7;A6XH05;A7IQH5;B0Y462
price149,test,145,27034,0,
price149,train,145,216268,0,
price149,val,145,27034,0,
test,train,27034,216268,0,
test,val,27034,27034,0,
train,val,216268,27034,0,
