split_a,split_b,exact_sequence_overlap_n
cluster_test,cluster_train,0
cluster_test,cluster_val,0
cluster_test,new392,24
cluster_test,price149,0
cluster_test,test,2867
cluster_test,train,20964
cluster_test,val,2897
cluster_train,cluster_val,0
cluster_train,new392,237
cluster_train,price149,0
cluster_train,test,20291
cluster_train,train,144890
cluster_train,val,20331
cluster_val,new392,122
cluster_val,price149,0
cluster_val,test,2887
cluster_val,train,20459
cluster_val,val,2797
new392,price149,0
new392,test,38
new392,train,304
new392,val,45
price149,test,0
price149,train,0
price149,val,0
test,train,4694
test,val,1318
train,val,4734
