model,split,eval_mode,threshold,l4_micro_f1,l4_macro_f1,l4_precision,l4_recall,rare_l4_micro_f1,ci_low,ci_high,p_value,claim_safety_note,file
b1_esm2_fc,cluster_test,hierarchical,0.5,0.8428,0.0235,0.9513,0.7564,0.41,,,,valid OOD only if checkpoint trained on cluster_train,outputs/results/b1_esm2_fc_cluster_test_hier_results.json
b2_esm2_hier,cluster_test,hierarchical,0.5,0.8267,0.0294,0.9407,0.7373,0.3329,,,,valid OOD only if checkpoint trained on cluster_train,outputs/results/b2_esm2_hier_cluster_test_hier_results.json
b3_contact,cluster_test,independent,0.5,0.9282,0.0466,0.9896,0.874,0.5807,,,,valid OOD only if checkpoint trained on cluster_train,outputs/results/b3_contact_cluster_test_results.json
fusion_v2,cluster_test,hierarchical,0.5,0.952,0.0907,0.9758,0.9293,0.8292,,,,valid OOD only if checkpoint trained on cluster_train,outputs/results/fusion_v2_cluster_test_hier_results.json
fusion_v3,cluster_test,hierarchical,0.5,0.9107,0.0633,0.9784,0.8518,0.5507,,,,valid OOD only if checkpoint trained on cluster_train,outputs/results/fusion_v3_cluster_test_hier_results.json
fusion_v3,cluster_test,independent,,0.3139,0.1103,,,0.1085,,,,valid OOD only if checkpoint trained on cluster_train,outputs/results/fusion_v3_cluster_test_results.json
hitec_pretrained,cluster_test,independent,,0.1338,,0.1151,0.1596,,,,,valid OOD only if checkpoint trained on cluster_train | prior/pretrained comparison has limited class/domain comparability,outputs/results/hitec_pretrained_cluster_test_results.json
fusion_v2,new392,hierarchical,0.5,0.6019,0.0138,0.8711,0.4598,0.4772,,,,warning: overlaps current 2026 Swiss-Prot train; not clean external unless cutoff-controlled,outputs/results/fusion_v2_new392_hier_results.json
b1_esm2_fc,price149,hierarchical,0.5,0.0,0.0,0.0,0.0,0.0,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/b1_esm2_fc_price149_hier_results.json
b2_esm2_hier,price149,hierarchical,0.5,0.0,0.0,0.0,0.0,0.0,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/b2_esm2_hier_price149_hier_results.json
fusion_v2,price149,hierarchical,0.5,0.0508,0.0008,0.102,0.0338,0.0354,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/fusion_v2_price149_hier_results.json
fusion_v2_price149,price149,bootstrap_ci,0.2,0.2269,,,,,0.1686,0.2866,,no contact maps in current pipeline; structure path unavailable,outputs/results/bootstrap_ci_fusion_v2_price149.json
fusion_v2_price149_knn,price149,knn_k1,,0.2662,,0.2893,0.2465,,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/fusion_v2_price149_knn_results.json
fusion_v2_price149_knn,price149,knn_k10,,0.0404,,0.0714,0.0282,,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/fusion_v2_price149_knn_results.json
fusion_v2_price149_knn,price149,knn_k20,,0.0408,,0.0741,0.0282,,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/fusion_v2_price149_knn_results.json
fusion_v2_price149_knn,price149,knn_k3,,0.2262,,0.3165,0.1761,,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/fusion_v2_price149_knn_results.json
fusion_v2_price149_knn,price149,knn_k5,,0.0923,,0.1698,0.0634,,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/fusion_v2_price149_knn_results.json
fusion_v3,price149,hierarchical,0.5,0.0,0.0,0.0,0.0,0.0,,,,no contact maps in current pipeline; structure path unavailable,outputs/results/fusion_v3_price149_hier_results.json
b0_cnn,test,independent,,0.6444,0.2592,,,0.1436,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/b0_cnn_test_results.json
b1_esm2_fc,test,hierarchical,0.5,0.8121,0.1073,0.9491,0.7096,0.273,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/b1_esm2_fc_test_hier_results.json
b1_esm2_fc,test,independent,,0.8853,0.4944,,,0.4557,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/b1_esm2_fc_test_results.json
b2_esm2_hier,test,hierarchical,0.5,0.8322,0.1478,0.9401,0.7465,0.4045,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/b2_esm2_hier_test_hier_results.json
b2_esm2_hier,test,hierarchical,,0.4076,0.0778,,,0.0049,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/b2_esm2_hier_test_results.json
b2_esm2_hier_test,test,bootstrap_ci,0.5,0.8396,,,,,0.835,0.8442,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/bootstrap_ci_b2_esm2_hier_test.json
b3_contact,test,hierarchical,0.5,0.8987,0.1855,0.9839,0.8272,0.4647,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/b3_contact_test_hier_results.json
b3_contact,test,independent,,0.8608,0.4637,,,0.381,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/b3_contact_test_results.json
ensemble_v2v3_test_w37,test,hierarchical,,0.9397,0.6182,,,0.6704,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/ensemble_v2v3_test_w37_hier_results.json
ensemble_v2v3_test_w46,test,hierarchical,,0.9405,0.6214,,,0.6749,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/ensemble_v2v3_test_w46_hier_results.json
ensemble_v2v3_test_w55,test,hierarchical,,0.942,0.6306,,,0.691,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/ensemble_v2v3_test_w55_hier_results.json
ensemble_v2v3_test_w55,test,independent,,0.9339,0.629,,,0.6784,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/ensemble_v2v3_test_w55_results.json
ensemble_v2v3_test_w64,test,hierarchical,,0.9423,0.6334,,,0.6941,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/ensemble_v2v3_test_w64_hier_results.json
ensemble_v2v3_test_w73,test,hierarchical,,0.9403,0.6252,,,0.6802,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/ensemble_v2v3_test_w73_hier_results.json
fusion,test,hierarchical,,0.8631,0.4044,,,0.3368,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/fusion_test_hier_results.json
fusion,test,independent,,0.8956,0.4982,,,0.479,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/fusion_test_results.json
fusion_v2,test,hierarchical,0.5,0.9347,0.2967,0.9693,0.9025,0.7432,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/fusion_v2_test_hier_results.json
fusion_v2,test,independent,,0.9344,0.6253,,,0.6767,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/fusion_v2_test_results.json
fusion_v2_test,test,bootstrap_ci,0.5,0.9313,,,,,0.9284,0.9345,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/bootstrap_ci_fusion_v2_test.json
fusion_v2_vs_b2_wilcoxon,test,wilcoxon,,0.9274,,,,,,,0.0,random split has exact sequence duplicates; treat as in-distribution,outputs/results/wilcoxon_v2_vs_b2.json
fusion_v3,test,hierarchical,0.5,0.9065,0.2383,0.9737,0.8479,0.5687,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/fusion_v3_test_hier_results.json
fusion_v3,test,independent,,0.9384,0.637,,,0.6923,,,,random split has exact sequence duplicates; treat as in-distribution,outputs/results/fusion_v3_test_results.json
hitec_pretrained,test,independent,,0.1235,,0.0998,0.1618,,,,,random split has exact sequence duplicates; treat as in-distribution | prior/pretrained comparison has limited class/domain comparability,outputs/results/hitec_pretrained_test_results.json
ensemble_v2v3_val_w37,val,hierarchical,,0.9439,0.6334,,,0.6893,,,,,outputs/results/ensemble_v2v3_val_w37_hier_results.json
ensemble_v2v3_val_w46,val,hierarchical,,0.944,0.634,,,0.6898,,,,,outputs/results/ensemble_v2v3_val_w46_hier_results.json
ensemble_v2v3_val_w55,val,hierarchical,,0.9444,0.6341,,,0.6907,,,,,outputs/results/ensemble_v2v3_val_w55_hier_results.json
ensemble_v2v3_val_w64,val,hierarchical,,0.9442,0.6325,,,0.6874,,,,,outputs/results/ensemble_v2v3_val_w64_hier_results.json
ensemble_v2v3_val_w73,val,hierarchical,,0.9441,0.6332,,,0.6865,,,,,outputs/results/ensemble_v2v3_val_w73_hier_results.json
