model,subset,level,n,micro_f1,precision,recall,any_hit_rate,avg_pred_labels
B1 (ESM-2),all_prefix_scorable,1,466,0.8327868852459016,0.8600451467268623,0.8072033898305084,0.8175965665236051,0.9506437768240343
B1 (ESM-2),all_prefix_scorable,2,387,0.6545454545454545,0.8120300751879699,0.5482233502538071,0.5581395348837209,0.6873385012919897
B1 (ESM-2),all_prefix_scorable,3,359,0.5748709122203098,0.780373831775701,0.4550408719346049,0.46518105849582175,0.596100278551532
B1 (ESM-2),all_prefix_scorable,4,124,0.4215686274509804,0.8431372549019608,0.28104575163398693,0.2903225806451613,0.4112903225806452
B1 (ESM-2),known_complete,1,124,0.8641975308641975,0.9051724137931034,0.8267716535433071,0.8467741935483871,0.9354838709677419
B1 (ESM-2),known_complete,2,124,0.7431192660550459,0.9,0.6328125,0.6532258064516129,0.7258064516129032
B1 (ESM-2),known_complete,3,124,0.7314814814814815,0.9080459770114943,0.6124031007751938,0.6370967741935484,0.7016129032258065
B1 (ESM-2),known_complete,4,124,0.4215686274509804,0.8431372549019608,0.28104575163398693,0.2903225806451613,0.4112903225806452
B1 (ESM-2),partial,1,309,0.8311258278145696,0.856655290102389,0.8070739549839229,0.8122977346278317,0.948220064724919
B1 (ESM-2),partial,2,230,0.5804749340369393,0.7482993197278912,0.47413793103448276,0.4782608695652174,0.6391304347826087
B1 (ESM-2),partial,3,202,0.46557377049180326,0.7029702970297029,0.3480392156862745,0.35148514851485146,0.5
B1 (ESM-2),partial,4,0,,,,,
B1 (ESM-2),novel_complete,1,33,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7575757575757576,1.0303030303030303
B1 (ESM-2),novel_complete,2,33,0.7936507936507936,0.8620689655172413,0.7352941176470589,0.7575757575757576,0.8787878787878788
B1 (ESM-2),novel_complete,3,33,0.5666666666666667,0.6538461538461539,0.5,0.5151515151515151,0.7878787878787878
B1 (ESM-2),novel_complete,4,0,,,,,
B3 (Contact),all_prefix_scorable,1,466,0.8158192090395481,0.87409200968523,0.7648305084745762,0.7746781115879828,0.8862660944206009
B3 (Contact),all_prefix_scorable,2,387,0.7224669603524229,0.8571428571428571,0.6243654822335025,0.6356589147286822,0.7416020671834626
B3 (Contact),all_prefix_scorable,3,359,0.6568144499178982,0.8264462809917356,0.5449591280653951,0.5571030640668524,0.6740947075208914
B3 (Contact),all_prefix_scorable,4,124,0.3645833333333333,0.8974358974358975,0.22875816993464052,0.20967741935483872,0.31451612903225806
B3 (Contact),known_complete,1,124,0.8559670781893004,0.896551724137931,0.8188976377952756,0.8387096774193549,0.9354838709677419
B3 (Contact),known_complete,2,124,0.8051948051948052,0.9029126213592233,0.7265625,0.75,0.8306451612903226
B3 (Contact),known_complete,3,124,0.7671232876712328,0.9333333333333333,0.6511627906976745,0.6774193548387096,0.7258064516129032
B3 (Contact),known_complete,4,124,0.3645833333333333,0.8974358974358975,0.22875816993464052,0.20967741935483872,0.31451612903225806
B3 (Contact),partial,1,309,0.7930434782608695,0.8636363636363636,0.7331189710610932,0.7378640776699029,0.8543689320388349
B3 (Contact),partial,2,230,0.661498708010336,0.8258064516129032,0.5517241379310345,0.5565217391304348,0.6739130434782609
B3 (Contact),partial,3,202,0.5932721712538226,0.7886178861788617,0.47549019607843135,0.4801980198019802,0.6089108910891089
B3 (Contact),partial,4,0,,,,,
B3 (Contact),novel_complete,1,33,0.8656716417910447,0.8787878787878788,0.8529411764705882,0.8787878787878788,1.0
B3 (Contact),novel_complete,2,33,0.7936507936507936,0.8620689655172413,0.7352941176470589,0.7575757575757576,0.8787878787878788
B3 (Contact),novel_complete,3,33,0.6031746031746031,0.6551724137931034,0.5588235294117647,0.5757575757575758,0.8787878787878788
B3 (Contact),novel_complete,4,0,,,,,
Contact-EC,all_prefix_scorable,1,466,0.8387799564270153,0.8632286995515696,0.815677966101695,0.8218884120171673,0.9570815450643777
Contact-EC,all_prefix_scorable,2,387,0.7694483734087695,0.8690095846645367,0.6903553299492385,0.6976744186046512,0.8087855297157622
Contact-EC,all_prefix_scorable,3,359,0.7239263803680982,0.8280701754385965,0.6430517711171662,0.6545961002785515,0.7938718662952646
Contact-EC,all_prefix_scorable,4,124,0.6031746031746031,0.7676767676767676,0.49673202614379086,0.5241935483870968,0.7983870967741935
Contact-EC,known_complete,1,124,0.8685258964143426,0.8790322580645161,0.8582677165354331,0.8709677419354839,1.0
Contact-EC,known_complete,2,124,0.8389830508474576,0.9166666666666666,0.7734375,0.7903225806451613,0.8709677419354839
Contact-EC,known_complete,3,124,0.8607594936708861,0.9444444444444444,0.7906976744186046,0.8145161290322581,0.8709677419354839
Contact-EC,known_complete,4,124,0.6031746031746031,0.7676767676767676,0.49673202614379086,0.5241935483870968,0.7983870967741935
Contact-EC,partial,1,309,0.8258706467661692,0.8527397260273972,0.8006430868167203,0.8025889967637541,0.9449838187702265
Contact-EC,partial,2,230,0.7321867321867321,0.8514285714285714,0.6422413793103449,0.6434782608695652,0.7608695652173914
Contact-EC,partial,3,202,0.6628895184135978,0.785234899328859,0.5735294117647058,0.5792079207920792,0.7376237623762376
Contact-EC,partial,4,0,,,,,
Contact-EC,novel_complete,1,33,0.84375,0.9,0.7941176470588235,0.8181818181818182,0.9090909090909091
Contact-EC,novel_complete,2,33,0.75,0.8,0.7058823529411765,0.7272727272727273,0.9090909090909091
Contact-EC,novel_complete,3,33,0.5483870967741935,0.6071428571428571,0.5,0.5151515151515151,0.8484848484848485
