uid,seq_len,true_ecs,true_l1,max_train_seq_identity,similarity_available,similarity_bin,contactec_pred_ecs,contactec_per_protein_f1,contactec_hit,hitec_pred_ecs,hitec_per_protein_f1,hitec_hit,case_status
P0DPK1,1306,3.4.24.69,3,0.316,True,"(0.30,0.60]",3.4.24.69,1.0,True,3.4.24.69,1.0,True,both_correct
C0HLB7,142,3.2.1.17,3,0.666,True,"(0.60,0.90]",3.2.1.17,1.0,True,3.2.1.17,1.0,True,both_correct
C0HLB8,32,3.1.1.4,3,0.0,True,0.00,,0.0,False,3.1.1.4,1.0,True,hitec_only
A0A2L0VXR5,350,2.5.1.1;2.5.1.10;2.5.1.29,2,,False,not_available,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,both_correct
P0DPR2,689,2.3.2.27,2,0.0,True,0.00,2.3.2.27,1.0,True,2.3.2.27,1.0,True,both_correct
P0DPT0,301,3.1.1.32,3,0.923,True,>0.90,3.1.1.32,1.0,True,3.1.1.32,1.0,True,both_correct
P0DPS1,866,2.7.7.7,2,,False,not_available,2.7.7.7,1.0,True,2.7.7.7,1.0,True,both_correct
C0HLF0,121,3.1.1.4,3,0.844,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
C0HLF7,107,3.1.1.4,3,0.827,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DPS4,120,3.1.1.4,3,0.795,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DQD1,30,3.1.1.4,3,0.566,True,"(0.30,0.60]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DPT7,147,3.1.1.4,3,0.605,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DPT9,147,3.1.1.4,3,0.619,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DPT8,28,3.1.1.4,3,0.0,True,0.00,3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
A0A2I6PJ05,384,2.5.1.1;2.5.1.10;2.5.1.29,2,,False,not_available,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,both_correct
A0A383ZFX3,395,3.5.1.23,3,0.891,True,"(0.60,0.90]",3.5.1.23,1.0,True,3.5.1.23,1.0,True,both_correct
A0A2Z5WA18,502,1.17.7.4,1,0.547,True,"(0.30,0.60]",1.17.7.4,1.0,True,1.17.7.4,1.0,True,both_correct
P0DSI2,379,3.1.1.32,3,0.358,True,"(0.30,0.60]",3.1.1.32,1.0,True,3.1.1.32,1.0,True,both_correct
P0DSN5,36,3.1.1.4,3,0.0,True,0.00,,0.0,False,3.1.1.4,1.0,True,hitec_only
A0A3L6G998,547,4.2.3.57,4,0.413,True,"(0.30,0.60]",,0.0,False,4.2.3.57,1.0,True,hitec_only
A0A2S1WBY6,356,2.1.1.117,2,0.428,True,"(0.30,0.60]",,0.0,False,2.1.1.117,1.0,True,hitec_only
A0A2S1WC15,339,2.1.1.117,2,0.794,True,"(0.60,0.90]",2.1.1.128,0.0,False,2.1.1.116;2.1.1.117;2.1.1.352,0.5,True,hitec_only
A0A452E9Y6,712,1.11.1.7,1,0.959,True,>0.90,1.11.1.7,1.0,True,1.11.1.7,1.0,True,both_correct
A0A2I7G3B3,379,1.1.1.144;1.1.1.347,1,,False,not_available,1.1.1.1;1.1.1.284,0.0,False,1.1.1.144;1.1.1.347,1.0,True,hitec_only
