uid,seq_len,true_ecs,true_l1,hitec_pred_ecs,hitec_top1_prob,hitec_per_protein_f1,hitec_hit,contactec_pred_ecs,contactec_top5,contactec_per_protein_f1,contactec_hit,case_status
P0DPK1,1306,3.4.24.69,3,3.4.24.69,0.9996577501296997,1.0,True,3.4.24.69,3.4.24.69:0.9917;3.4.24.68:0.0789;3.5.1.44:0.0289;4.6.1.1:0.0125;2.4.2.31:0.0061,1.0,True,both_correct
C0HLB7,142,3.2.1.17,3,3.2.1.17,1.0,1.0,True,3.2.1.17,3.2.1.17:1.0000;3.2.1.14:0.0020;3.2.1.4:0.0000;3.2.1.73:0.0000;3.2.1.181:0.0000,1.0,True,both_correct
C0HLB8,32,3.1.1.4,3,3.1.1.4,1.0,1.0,True,,3.1.1.4:0.4931;3.2.1.8:0.0169;3.2.1.14:0.0139;3.2.1.4:0.0059;3.2.1.17:0.0038,0.0,False,hitec_only
A0A2L0VXR5,350,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,0.9999977350234985,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.10:1.0000;2.5.1.1:1.0000;2.5.1.29:0.9966;2.5.1.103:0.0000;2.5.1.91:0.0000,1.0,True,both_correct
P0DPR2,689,2.3.2.27,2,2.3.2.27,1.0,1.0,True,2.3.2.27,2.3.2.27:1.0000;2.7.10.1:0.0003;2.3.2.2:0.0001;3.4.19.13:0.0000;3.4.21.68:0.0000,1.0,True,both_correct
P0DPT0,301,3.1.1.32,3,3.1.1.32,0.9999898672103882,1.0,True,3.1.1.32,3.1.1.32:0.9941;3.1.1.3:0.0674;3.1.1.1:0.0177;3.1.1.2:0.0089;3.1.1.4:0.0078,1.0,True,both_correct
P0DPS1,866,2.7.7.7,2,2.7.7.7,0.999937891960144,1.0,True,2.7.7.7,2.7.7.7:0.8565;2.1.1.113:0.0380;2.7.7.48:0.0080;3.1.21.4:0.0004;2.1.1.72:0.0003,1.0,True,both_correct
C0HLF0,121,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.1.27.5:0.0000;3.1.26.5:0.0000;3.1.26.4:0.0000;3.1.26.1:0.0000,1.0,True,both_correct
C0HLF7,107,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.4.24.50:0.0000;3.4.24.72:0.0000;3.1.27.5:0.0000;3.1.26.4:0.0000,1.0,True,both_correct
P0DPS4,120,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.1.27.5:0.0000;3.1.26.1:0.0000;3.1.27.6:0.0000;2.8.2.21:0.0000,1.0,True,both_correct
P0DQD1,30,3.1.1.4,3,3.1.1.4,0.9999994039535522,1.0,True,3.1.1.4,3.1.1.4:0.9760;3.2.2.22:0.0035;2.5.1.18:0.0035;3.1.1.74:0.0034;1.6.99.3:0.0033,1.0,True,both_correct
P0DPT7,147,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.4.21.4:0.0001;3.1.1.32:0.0000;3.5.2.17:0.0000;1.11.1.9:0.0000,1.0,True,both_correct
P0DPT9,147,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.4.21.4:0.0001;3.1.1.32:0.0000;3.5.2.17:0.0000;3.1.27.4:0.0000,1.0,True,both_correct
P0DPT8,28,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:0.7464;3.2.1.14:0.0440;3.2.1.35:0.0267;3.2.2.22:0.0262;3.2.1.17:0.0220,1.0,True,both_correct
A0A2I6PJ05,384,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,0.9999974966049194,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.10:1.0000;2.5.1.1:0.9998;2.5.1.29:0.9989;4.2.3.74:0.0000;2.5.1.32:0.0000,1.0,True,both_correct
A0A383ZFX3,395,3.5.1.23,3,3.5.1.23,1.0,1.0,True,3.5.1.23,3.5.1.23:0.9998;3.5.1.41:0.0007;3.5.1.5:0.0001;3.5.1.14:0.0000;3.5.1.4:0.0000,1.0,True,both_correct
A0A2Z5WA18,502,1.17.7.4,1,1.17.7.4,1.0,1.0,True,1.17.7.4,1.17.7.4:0.9978;2.5.1.32:0.0002;2.8.3.5:0.0002;1.8.4.9:0.0001;2.8.1.8:0.0001,1.0,True,both_correct
P0DSI2,379,3.1.1.32,3,3.1.1.32,0.9998857975006104,1.0,True,3.1.1.32,3.1.1.32:0.9587;3.1.1.4:0.1402;3.1.1.74:0.0226;3.1.1.3:0.0046;3.1.1.26:0.0001,1.0,True,both_correct
P0DSN5,36,3.1.1.4,3,3.1.1.4,0.9999943971633911,1.0,True,,1.4.3.2:0.1990;1.11.1.7:0.0628;2.7.7.6:0.0461;2.1.3.3:0.0297;2.7.7.48:0.0189,0.0,False,hitec_only
A0A3L6G998,547,4.2.3.57,4,4.2.3.57,0.9999997615814209,1.0,True,,4.2.3.47:0.2375;4.2.3.75:0.1390;4.2.3.13:0.1375;4.2.3.61:0.1284;4.2.3.87:0.0939,0.0,False,hitec_only
A0A2S1WBY6,356,2.1.1.117,2,2.1.1.117,0.9972712397575378,1.0,True,,2.1.1.46:0.1954;2.1.1.116:0.1845;2.1.1.4:0.1717;2.1.1.212:0.1145;2.1.1.146:0.0743,0.0,False,hitec_only
A0A2S1WC15,339,2.1.1.117,2,2.1.1.116;2.1.1.117;2.1.1.352,0.9342187643051147,0.5,True,2.1.1.128,2.1.1.128:0.5744;2.1.1.116:0.3180;2.1.1.150:0.2028;2.1.1.46:0.0269;2.1.1.270:0.0265,0.0,False,hitec_only
A0A452E9Y6,712,1.11.1.7,1,1.11.1.7,0.9999971389770508,1.0,True,1.11.1.7,1.11.1.7:0.9981;1.11.2.2:0.1142;3.4.15.1:0.0003;1.11.1.8:0.0000;1.5.3.15:0.0000,1.0,True,both_correct
A0A2I7G3B3,379,1.1.1.144;1.1.1.347,1,1.1.1.144;1.1.1.347,0.9999961853027344,1.0,True,1.1.1.1;1.1.1.284,1.1.1.1:0.9190;1.1.1.284:0.8166;1.1.1.347:0.0189;1.1.1.354:0.0026;1.1.1.2:0.0006,0.0,False,hitec_only
A0A3G1DJK5,729,4.3.1.24,4,4.3.1.24,0.999806821346283,1.0,True,4.3.1.24;5.4.3.10,4.3.1.24:0.9992;5.4.3.10:0.8011;4.3.1.25:0.0148;2.5.1.48:0.0023;4.3.1.3:0.0003,0.6666666666666666,True,both_correct
A0A3G1DJL2,419,2.5.1.21,2,2.5.1.21,0.9999998807907104,1.0,True,2.5.1.21,2.5.1.21:0.9989;1.3.1.96:0.0093;1.3.1.97:0.0010;2.5.1.103:0.0002;2.7.7.50:0.0002,1.0,True,both_correct
A0A3G1DJF0,320,3.1.1.1,3,3.1.1.1,0.9999785423278809,1.0,True,,3.5.1.9:0.0674;3.7.1.14:0.0062;3.1.1.1:0.0029;3.1.1.81:0.0007;4.2.1.130:0.0007,0.0,False,hitec_only
A0A2I7G3B0,499,1.2.1.5,1,1.2.1.5,0.9906188249588013,1.0,True,1.2.1.3,1.2.1.3:0.6419;1.2.1.36:0.2738;1.2.1.16:0.0094;1.2.1.8:0.0063;1.2.1.5:0.0061,0.0,False,hitec_only
A0A2R6P624,458,2.4.1.91,2,2.4.1.91,0.9999974966049194,1.0,True,2.4.1.115,2.4.1.115:0.5204;2.4.1.159:0.2058;2.4.1.91:0.0919;2.4.1.298:0.0450;2.4.1.234:0.0390,0.0,False,hitec_only
A0A4D6Q4T7,372,1.14.11.9,1,1.14.11.9,0.9999946355819702,1.0,True,1.14.11.9,1.14.11.9:0.9905;1.14.11.22:0.0173;1.14.11.19:0.0097;1.2.1.8:0.0088;1.14.11.25:0.0025,1.0,True,both_correct
A0A4D6Q9B0,372,1.14.11.9,1,1.14.11.9,0.9999920129776001,1.0,True,1.14.11.9,1.14.11.9:0.9764;1.14.11.22:0.0399;1.14.11.19:0.0353;1.14.11.23:0.0219;1.14.11.25:0.0167,1.0,True,both_correct
C0HLL2,146,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.2.1.17:0.0000;3.1.27.1:0.0000;3.1.27.6:0.0000;3.1.4.38:0.0000,1.0,True,both_correct
P0DQH9,172,1.4.3.2,1,1.4.3.2,0.9999988079071045,1.0,True,1.4.3.2,1.4.3.2:0.9193;3.2.1.35:0.0370;1.14.14.3:0.0266;1.14.13.39:0.0152;3.2.2.22:0.0072,1.0,True,both_correct
A0A2U8QPE6,501,1.4.3.2,1,1.4.3.2,1.0,1.0,True,1.4.3.2,1.4.3.2:1.0000;1.5.3.14:0.0000;1.5.3.16:0.0000;1.5.3.15:0.0000;1.17.8.1:0.0000,1.0,True,both_correct
