accession,true_ec,pred_ec,covered,exact_hit,sample_f1
A0A072VDF2,1.2.1.44,1.2.1.44,True,True,1.0
A0A080WMA9,1.2.1.11,1.2.1.11,True,True,1.0
A0A095C6S0,1.4.3.3,1.4.3.3,True,True,1.0
A0A0B5JC15,3.2.1.8,3.2.1.8,True,True,1.0
A0A0D2Y5A7,2.3.1.12,2.3.1.12,True,True,1.0
A0A0D3LQY6,2.6.1.57,2.6.1.5,True,False,0.0
A0A0E3JHZ7,6.2.1.12,6.2.1.12,True,True,1.0
A0A0E3JXD9,1.4.3.3,1.4.3.19,True,False,0.0
A0A0F7KYQ8,3.5.2.6,3.5.2.6,True,True,1.0
A0A0G4P2K0,1.14.14.1;1.6.2.4,1.14.14.1,True,True,0.6666666666666666
A0A0H2X5R2,2.4.2.12,2.4.2.12,True,True,1.0
A0A0H2Z7X0,2.7.7.65,2.7.7.65,True,True,1.0
A0A0H2ZD27,3.3.2.10,3.3.2.10,True,True,1.0
A0A0H2ZFK2,3.1.3.16;3.1.3.48,,False,False,0.0
A0A0H2ZNH9,2.7.13.3,2.7.13.3,True,True,1.0
A0A0J9UMG2,2.4.1.16,2.4.1.16,True,True,1.0
A0A0J9X285,2.7.1.49,2.5.1.3,True,False,0.0
A0A0M0ELU2,3.5.1.97;4.2.1.51,4.2.1.51,True,True,0.6666666666666666
A0A0M4NCP8,2.7.7.48;3.4.21.98;3.6.1.15;3.6.4.13,2.7.7.48,True,True,0.4
A0A0R0H9T5,5.2.1.8,5.2.1.8,True,True,1.0
A0A0R4IB93,3.4.19.12,3.4.19.12,True,True,1.0
A0A101MN42,1.14.14.1;1.6.2.4,1.14.14.1,True,True,0.6666666666666666
A0A125YKR8,3.2.1.14,3.2.1.14,True,True,1.0
A0A125YY17,3.6.5.2,,False,False,0.0
A0A144A2H0,3.4.11.9,3.4.11.9,True,True,1.0
A0A172U6X0,5.1.3.31,5.1.3.31,True,True,1.0
A0A179UL48,1.2.1.11,1.2.1.11,True,True,1.0
A0A193CHJ5,3.1.1.4,3.1.1.4,True,True,1.0
A0A194WDG1,2.7.11.24,2.7.11.24,True,True,1.0
A0A1C8AX29,1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.86;3.1.2.14;4.2.1.59,1.3.1.9,True,True,0.2857142857142857
A0A1D1VU85,1.15.1.1,1.15.1.1,True,True,1.0
A0A1D5AG16,1.1.1.100;2.3.1.41;2.3.1.86,1.1.1.100,True,True,0.5
A0A1D6E0S8,2.7.11.1,2.7.11.1,True,True,1.0
A0A1D8PDV7,2.7.1.137,2.7.1.137,True,True,1.0
A0A1D8PJA8,3.2.1.39,,False,False,0.0
A0A1D8PKB4,2.7.11.1,2.7.11.1,True,True,1.0
A0A1D8PS71,3.1.3.8,3.1.3.2,True,False,0.0
A0A1D8PT03,1.6.5.2,1.6.5.2,True,True,1.0
A0A1L7NVA6,4.1.99.22;4.6.1.17,4.1.99.22,True,True,0.6666666666666666
A0A1S3Z5Y0,2.7.12.2,2.7.11.24,True,False,0.0
A0A1S4F020,3.4.17.2,3.4.17.2,True,True,1.0
A0A1U8CC89,2.7.7.2;3.6.1.18;3.6.1.22,2.7.7.2,True,True,0.5
A0A1V0QSF9,4.2.3.121;4.2.3.16,4.2.3.16,True,True,0.6666666666666666
A0A1V0QSG0,4.2.3.113;4.2.3.121;4.2.3.15;4.2.3.16,4.2.3.15,True,True,0.4
A0A1V0QSG6,4.2.3.104;4.2.3.15;4.2.3.73,4.2.3.22,True,False,0.0
A0A1V0QSH2,4.2.3.121;4.2.3.16,4.2.3.121,True,True,0.6666666666666666
A0A1W7HCY1,1.16.1.10,,False,False,0.0
A0A261GRE4,1.14.18.1,1.10.3.1,True,False,0.0
A0A2B7ICX0,4.2.2.1,4.2.2.1,True,True,1.0
A0A2C9JXL4,2.4.1.122,2.4.1.122,True,True,1.0
A0A2H1K3G9,4.4.1.11;4.4.1.2,4.4.1.11,True,True,0.6666666666666666
A0A2H4Z8F4,3.2.1.35,3.2.1.35,True,True,1.0
A0A2I2F2I5,2.2.1.6,2.2.1.6,True,True,1.0
A0A2R6W0K6,5.4.2.2,5.4.2.2,True,True,1.0
A0A2R6XIK6,2.7.11.1,2.7.11.25,True,False,0.0
A0A2Z5GDY5,3.4.11.9,3.4.11.9,True,True,1.0
A0A384J6C4,3.2.1.14,2.4.1.207,True,False,0.0
A0A384JC04,3.2.1.151,3.2.1.151,True,True,1.0
A0A384K116,3.2.1.14,3.2.1.73,True,False,0.0
A0A3Q0KGQ7,2.7.4.3,2.7.4.3,True,True,1.0
A0A3Q0KJ78,2.7.4.6,2.7.13.3,True,False,0.0
A0A3Q0KQY7,4.2.1.2,4.2.1.2,True,True,1.0
A0A3Q7HYF0,2.1.1.76,2.1.1.68,True,False,0.0
A0A3S5XFG0,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.-,True,False,0.0
A0A498JQK2,4.1.1.36,4.1.1.36,True,True,1.0
A0A499UB99,1.4.3.3,1.4.3.3,True,True,1.0
A0A4P1LYB6,4.1.1.25,4.1.1.11,True,False,0.0
A0A509AM03,3.4.21.62,3.4.21.62,True,True,1.0
A0A5J5NT52,2.7.11.1,2.7.11.1,True,True,1.0
A0A5J5T2N2,2.7.11.1,2.7.11.1,True,True,1.0
A0A5P3XKQ1,3.4.24.69,3.4.24.68,True,False,0.0
A0A5R8T042,3.5.2.6,3.5.2.6,True,True,1.0
A0A649V088,3.5.2.6,3.5.2.6,True,True,1.0
A0A6C0PI29,3.1.1.73,3.1.1.73,True,True,1.0
A0A6I8TCE0,3.1.3.48,3.1.3.48,True,True,1.0
A0A6N3IN21,4.3.1.17;4.3.1.19;5.1.1.3,4.3.1.17,True,True,0.5
A0A7E6FSU6,1.4.3.1,1.4.3.1,True,True,1.0
A0A7G5KET3,2.7.2.3,2.7.2.3,True,True,1.0
A0A7H0DN85,2.1.1.56;2.7.7.50,2.1.1.56,True,True,0.6666666666666666
A0A7U2MSD6,3.1.3.16,3.1.3.16,True,True,1.0
A0A7U2QYM2,2.3.1.48,2.3.1.48,True,True,1.0
A0A8D5M3Y5,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.-,True,False,0.0
A0A8E5MH76,3.1.3.48,,False,False,0.0
