accession,true_label_count,any_unseen_true_label,all_true_labels_unseen,min_true_label_train_count,B1_ESM2_only_top1_prob,B1_ESM2_only_prob_sum,B1_ESM2_only_entropy,B3_contact_only_top1_prob,B3_contact_only_prob_sum,B3_contact_only_entropy,Fusion_ESM2_contact_top1_prob,Fusion_ESM2_contact_prob_sum,Fusion_ESM2_contact_entropy
Q1MTQ0,1,False,False,849,0.18516235,1.8865309,12.937877,0.90441513,1.003379,1.1558266,0.79099774,0.9727885,1.2984812
Q5SSZ7,1,False,False,849,0.06686905,2.3164244,15.713565,0.9682588,1.0282896,0.47744974,0.079740606,0.17752504,0.8926003
P18270,1,False,False,6,0.061715722,2.2655573,16.218954,0.19989681,0.6375359,3.0147524,0.19307335,0.50431854,1.9504737
F1SVL1,1,False,False,9,0.38342074,1.0725306,5.0111628,0.6282047,0.66278434,0.8950075,0.6647729,0.7053805,0.8537737
Q2RJU5,1,False,False,2041,0.20237629,0.60358495,2.8125696,0.5812282,0.59865874,0.8024618,0.4300722,0.45025164,0.8067988
F1ND48,1,False,False,983,0.1313887,1.5441058,10.630865,0.16630179,0.18420571,0.5632424,0.16187821,0.47643536,1.8992732
Q9USU3,1,False,False,983,0.045755293,3.7770905,27.020864,0.64394116,0.9812125,1.4000401,0.1890005,0.4180366,1.4386625
A0PSI5,1,False,False,26,0.06988206,1.3254516,10.310573,0.14161189,0.5805131,2.6256733,0.20096762,0.32674897,1.1996609
A0QGM8,1,False,False,26,0.112676404,1.7389939,12.863874,0.11755476,0.55794936,2.4564397,0.13034193,0.30044147,1.2905337
A1KJP9,1,False,False,26,0.09983658,1.7686136,12.979434,0.14892374,0.69639194,3.1943345,0.20247436,0.31439418,1.1689413
A1T9P9,1,False,False,26,0.08520341,1.8688643,14.277519,0.1126327,0.4957754,2.4614134,0.15085073,0.25080997,1.0117977
A1U1Q6,1,False,False,26,0.04191388,0.57417226,4.595173,0.082501024,0.3933351,1.9655415,0.25231206,0.4121647,1.3969612
A1UGU7,1,False,False,26,0.06778898,1.7658756,13.267105,0.06823791,0.37083647,1.8186052,0.20388834,0.3702911,1.4190686
A3Q0E7,1,False,False,26,0.06885537,1.7901725,13.417379,0.06540724,0.36931407,1.8085755,0.20684762,0.3695104,1.4059149
A4IN50,1,False,False,26,0.089277335,1.780025,12.742039,0.10755128,0.32569644,1.6975374,0.082789846,0.22510341,0.9954585
A4TAC4,1,False,False,26,0.066301234,2.0839877,15.807905,0.109168895,0.3647371,1.7682772,0.2563834,0.39808232,1.435198
A4YM47,1,False,False,26,0.018992119,1.1873571,9.844397,0.10366777,0.34762755,1.6589619,0.06842058,0.187332,0.9314594
A5U3K4,1,False,False,26,0.09983658,1.7686136,12.979434,0.15155424,0.70666474,3.2140465,0.2058578,0.3185087,1.176686
A5VS09,1,False,False,26,0.024917668,0.69461954,5.6274176,0.060770158,0.24575749,1.295084,0.217072,0.4903617,1.6462443
A6UEL4,1,False,False,26,0.02355052,1.4030318,11.279228,0.13665344,0.32729027,1.4922824,0.0788114,0.19137685,0.9135032
A6UYU5,1,False,False,26,0.016247237,1.1891773,9.813314,0.12637553,0.42597306,1.8673754,0.06254172,0.19717884,0.9240289
A6WYD2,1,False,False,26,0.022730738,0.46955657,4.0534744,0.0569634,0.24752825,1.3325558,0.20677423,0.3937403,1.5038855
A9BRF0,1,False,False,26,0.033830047,1.2499568,10.3228,0.10053008,0.29709917,1.4643031,0.05741012,0.21152398,1.1031663
A9IHH4,1,False,False,26,0.014680594,0.7871606,6.633918,0.107989304,0.41443408,2.048474,0.07922826,0.16030292,0.7349036
A9M752,1,False,False,26,0.023852522,0.7329285,5.9722567,0.04823749,0.21836233,1.225394,0.20937963,0.46386248,1.643495
A9WWC9,1,False,False,26,0.029968202,0.72320247,5.810646,0.051611453,0.2399613,1.3063065,0.21087547,0.4782632,1.6774883
B1MB69,1,False,False,26,0.034498185,1.589327,12.54506,0.09709043,0.5046513,2.311491,0.18119384,0.34184706,1.3594964
B2HSY2,1,False,False,26,0.066665314,1.3276534,10.363931,0.11447573,0.49470484,2.3243814,0.2332511,0.363257,1.2733257
B2S793,1,False,False,26,0.030674884,0.6706752,5.3446417,0.06441153,0.25434986,1.3218684,0.22183281,0.50272393,1.6861304
B3PWJ0,1,False,False,26,0.018597392,1.4080509,11.324636,0.07764478,0.3600424,1.8064057,0.20166725,0.3393141,1.2898943
B3QKU1,1,False,False,26,0.066446684,2.8790169,21.746355,0.071860336,0.3799098,1.8942735,0.032198105,0.16068837,0.90500104
B5ZVA2,1,False,False,26,0.02129898,1.3558502,10.911619,0.0674217,0.347551,1.7580127,0.21075518,0.3437733,1.272114
B7V467,1,False,False,26,0.01913297,1.2404869,10.250195,0.13465093,0.45033428,1.9065598,0.06371618,0.19110854,0.9044211
B8ZSN3,1,False,False,26,0.043141145,1.1797218,9.30629,0.06623966,0.27915967,1.3857666,0.36019638,0.52444845,1.4863304
B9JG75,1,False,False,26,0.021891097,1.359284,11.035495,0.050979372,0.2774036,1.4498742,0.13395073,0.30170032,1.3334644
B9JXY6,1,False,False,26,0.026059574,0.952152,7.8393307,0.051953796,0.324166,1.7881594,0.07602999,0.26497415,1.149019
C0RES0,1,False,False,26,0.029913828,0.71843123,5.7681932,0.057422698,0.24449895,1.3026022,0.2025041,0.4830079,1.6475312
C0ZZZ0,1,False,False,26,0.03619534,1.6293447,12.572887,0.07397362,0.44467813,2.1395905,0.12147664,0.28756392,1.3069029
C1APB4,1,False,False,26,0.09983658,1.7686136,12.979434,0.1512649,0.7110866,3.2300894,0.20304205,0.31502664,1.1693678
C3MBD2,1,False,False,26,0.030634612,1.5124719,11.792609,0.1321431,0.29125968,1.3771294,0.04700923,0.16676466,0.8685441
C5CJB5,1,False,False,26,0.028112814,0.89400196,7.5592813,0.046290275,0.2966801,1.7049323,0.09242678,0.23045218,1.0368133
C5D2K6,1,False,False,26,0.08556328,1.8294557,13.40354,0.0667035,0.23492049,1.3374215,0.17587835,0.2790142,1.0367764
O05137,1,False,False,26,0.0231456,1.0024481,8.323804,0.09590855,0.3240768,1.5867872,0.07151308,0.20887102,0.9752614
O32913,1,False,False,26,0.042868633,1.181714,9.324659,0.06884252,0.2776182,1.374279,0.35531887,0.5166635,1.470093
P0A5J5,1,False,False,26,0.09983658,1.7686136,12.979434,0.15124117,0.71109354,3.2292922,0.2032042,0.3151921,1.1696155
P37330,1,False,False,26,0.025747368,0.55075717,4.4755054,0.06858412,0.23659855,1.3799894,0.11115971,0.21956182,0.95552105
P42450,1,False,False,26,0.044760633,0.43207735,3.1394005,0.123419195,0.5115321,2.4465976,0.036244113,0.11041263,0.5430306
P59663,1,False,False,26,0.015865117,0.6914028,5.8424134,0.09251601,0.2766477,1.5281872,0.06305739,0.19019662,0.8944982
P9WK16,1,False,False,26,0.09983658,1.7686136,12.979434,0.14754353,0.7139479,3.267619,0.2026037,0.3145278,1.1685246
P9WK17,1,False,False,26,0.09983658,1.7686136,12.979434,0.1520267,0.7004778,3.2057667,0.20251285,0.31451833,1.1693201
Q02TT1,1,False,False,26,0.01913297,1.2404869,10.250195,0.13340099,0.4539081,1.9240011,0.06377057,0.19086042,0.90313566
Q0A845,1,False,False,26,0.039094925,1.2107136,9.423305,0.06451932,0.30798432,1.5529013,0.18859027,0.34149078,1.3703651
Q11BE3,1,False,False,26,0.019654527,0.95434,7.950048,0.10167775,0.330137,1.7657822,0.061109554,0.14392562,0.6966648
Q13BC6,1,False,False,26,0.05540076,2.2303224,17.147545,0.08410308,0.40192354,1.9517806,0.04752879,0.17135313,0.9218981
Q13YU3,1,False,False,26,0.040804002,0.9642243,7.705785,0.06832205,0.39245343,2.0236619,0.046705395,0.12307282,0.6447035
Q1B860,1,False,False,26,0.06778898,1.7658756,13.267105,0.0680009,0.36906308,1.8100618,0.20489693,0.37223327,1.4251317
Q1MNB0,1,False,False,26,0.029766297,1.3939123,11.182735,0.084777065,0.37834296,1.8525261,0.15574296,0.2887038,1.1782506
Q1QHK3,1,False,False,26,0.046377104,2.6049938,19.970013,0.09120131,0.27173743,1.3848616,0.046183396,0.1766022,0.9353975
Q1QSR0,1,False,False,26,0.020091655,1.0536748,8.7319975,0.092127316,0.37387747,1.8826631,0.08119728,0.16069452,0.8015773
Q2J0A5,1,False,False,26,0.04275316,2.4558277,18.902235,0.053945273,0.35755455,1.8161057,0.046962623,0.17189662,0.90347373
Q2KE51,1,False,False,26,0.018273469,1.0868783,8.903443,0.07347545,0.36776122,1.8132734,0.18404068,0.33641064,1.3226292
Q2YRK5,1,False,False,26,0.030674884,0.6706752,5.3446417,0.053547546,0.24451913,1.3283876,0.22774577,0.5159667,1.7180026
Q3K5N4,1,False,False,26,0.02139038,1.2031908,9.944223,0.11615806,0.4044611,1.7795376,0.07602288,0.18899003,0.88051033
Q3SNX3,1,False,False,26,0.034025047,1.9957962,15.198276,0.06089433,0.34897608,1.8366683,0.08244904,0.2062925,0.92438805
Q4K4S5,1,False,False,26,0.015610968,1.1234968,9.413153,0.090059586,0.32641736,1.5981109,0.075278886,0.18962161,0.8894252
Q57BM8,1,False,False,26,0.030674884,0.6706752,5.3446417,0.05485988,0.25109166,1.344359,0.23499785,0.5140096,1.7457023
Q5KZR8,1,False,False,26,0.090125024,1.0650012,7.6588445,0.07897244,0.26257524,1.4415892,0.08793557,0.29909977,1.2457933
Q5P811,1,False,False,26,0.014724578,1.5993335,12.987199,0.098861605,0.39110333,2.1144152,0.064152956,0.18442772,0.9601842
Q5YWU1,1,False,False,26,0.055641968,1.1511805,9.081802,0.08592635,0.3641678,1.8913683,0.2556416,0.45055586,1.5704205
Q6N234,1,False,False,26,0.063636504,2.5831118,19.59636,0.063002765,0.36969432,1.8629944,0.031006245,0.15432067,0.8777145
Q73ZQ2,1,False,False,26,0.11319222,1.8257264,13.499239,0.10676139,0.55743635,2.485066,0.13585348,0.31383115,1.352282
Q7VT71,1,False,False,26,0.05142343,1.4437076,11.295472,0.057936992,0.35223046,1.8751947,0.04509889,0.15145487,0.83259356
Q7W294,1,False,False,26,0.04334235,1.4004319,11.167031,0.052558362,0.33887452,1.8265095,0.03975963,0.15241025,0.8441142
Q7WR61,1,False,False,26,0.04334235,1.4004319,11.167031,0.051633585,0.3425872,1.8492938,0.038579848,0.151279,0.83658755
Q87Z72,1,False,False,26,0.028420314,1.9188998,15.022636,0.07511119,0.32213354,1.7955856,0.056077044,0.17749321,0.87642133
Q88AB2,1,False,False,26,0.021570178,1.301249,10.613449,0.16200788,0.46410784,1.9031955,0.097821474,0.19014159,0.88058335
Q88QX8,1,False,False,26,0.037826136,3.4797897,26.207184,0.106928915,0.41914687,1.8262231,0.03311156,0.12307303,0.6773212
Q89UE3,1,False,False,26,0.05703066,1.3506567,10.579237,0.04866604,0.2553228,1.3705992,0.029837916,0.13763922,0.80217695
Q8FDN6,1,False,False,26,0.027882308,0.4965531,4.0436506,0.08899375,0.26909053,1.4962777,0.11405306,0.23470616,1.0108716
Q8FNB3,1,False,False,26,0.030682338,0.7141398,5.5396395,0.053406287,0.39298013,2.0979002,0.086054064,0.2635948,1.0427153
Q8FZ50,1,False,False,26,0.031709958,0.7074602,5.6578054,0.061362524,0.249883,1.310852,0.19835408,0.48071915,1.6477829
Q8UJ85,1,False,False,26,0.025172735,0.73057866,6.1018147,0.07914918,0.4648235,2.4982595,0.3210394,0.40259817,1.1119335
Q8YIR3,1,False,False,26,0.029913828,0.71843123,5.7681932,0.053044423,0.23778576,1.2755729,0.21035461,0.48365557,1.6765294
Q92TA4,1,False,False,26,0.03678586,1.413864,11.137562,0.058060806,0.34182948,1.6972872,0.1251799,0.23016943,0.9854654
Q937W7,1,False,False,26,0.03247831,1.5781319,12.586744,0.07983921,0.3764893,1.8378636,0.14587045,0.27960876,1.1639115
Q98DK4,1,False,False,26,0.05883405,2.3886297,18.688583,0.101084895,0.37759092,1.9641352,0.26653466,0.35574338,1.102448
Q9AE55,1,False,False,26,0.04434207,1.4040971,11.134691,0.113934346,0.43763024,1.972085,0.12186087,0.29876286,1.3220072
Q9I636,1,False,False,26,0.019341776,1.1463796,9.517019,0.13209039,0.4105722,1.7814901,0.072400294,0.20232774,0.93378615
Q9KB03,1,False,False,26,0.03960045,0.75149214,5.7827044,0.09674645,0.26098067,1.3744457,0.1654721,0.30557373,1.1789734
Q9VBX2,1,False,False,75,0.071205564,0.70790344,3.9605494,0.08268834,0.43401432,1.8576446,0.87662405,0.91506267,0.609189
Q8BUH7,1,False,False,849,0.17983134,0.8772299,5.650549,0.9454952,1.0128202,0.68291503,0.5371928,0.626963,1.2056781
Q9BY78,1,False,False,849,0.20536858,0.8573289,5.2981896,0.94380873,1.0132781,0.719635,0.6013044,0.6824926,1.137328
A4HYT9,1,True,True,0,0.05004041,0.7178674,5.5868707,0.05775154,0.25952822,1.4812684,0.020053346,0.07705793,0.48583743
E9AIE8,1,True,True,0,0.07131425,0.7600248,5.7456512,0.076609574,0.2987538,1.4145255,0.028094048,0.080950856,0.47993454
Q4QCU9,1,True,True,0,0.044818964,0.74607027,5.8155537,0.060360044,0.26483864,1.5043604,0.020062452,0.08011371,0.48856974
A0AG18,1,True,True,0,0.031311803,0.11422723,0.6926161,0.009059645,0.14215855,1.0892497,0.0017604904,0.0034656986,0.02700388
A0JUZ5,1,True,True,0,0.03017435,0.089520894,0.5433405,0.30859342,0.7204433,2.7714787,0.05122328,0.08131966,0.3449645
A0K3V4,1,True,True,0,0.0712272,0.20827375,0.95620066,0.0077663357,0.09815875,0.7716554,0.00046497313,0.0022207238,0.020665858
A0LBT6,1,True,True,0,0.03381572,0.15096089,0.81659293,0.013411355,0.08729946,0.6298442,0.102811895,0.11646829,0.42139393
A0LQG8,1,True,True,0,0.024444623,0.12812968,0.74066937,0.029678695,0.109332114,0.675153,0.0317156,0.03910891,0.1912224
A0LTS3,1,True,True,0,0.014849103,0.09938624,0.6340251,0.045103367,0.30129313,1.9173973,0.022464573,0.039008155,0.20494509
A0PP16,1,True,True,0,0.03137561,0.13320751,0.7665868,0.13710217,0.32545194,1.350509,0.0077939318,0.01864238,0.11824004
A0PXP6,1,True,True,0,0.02149347,0.1033257,0.6179833,0.035163347,0.13575792,0.7823858,0.008780041,0.010924264,0.067003876
A0QHI0,1,True,True,0,0.043925956,0.13491985,0.7510378,0.055987675,0.22869028,1.1614761,0.020186601,0.045721643,0.25160286
A0QX83,1,True,True,0,0.016579404,0.08981493,0.57289803,0.04011793,0.19473785,1.1096497,0.01577138,0.03268097,0.18627922
A0RBL9,1,True,True,0,0.019738285,0.11836508,0.7464931,0.014802188,0.1757971,1.3297513,0.010703001,0.012186256,0.072082214
A0RQ64,1,True,True,0,0.06517088,0.2649698,1.4211684,0.012667757,0.116225615,0.86833954,0.20462649,0.24446258,0.7009329
A0RZ75,1,True,True,0,0.0151987,0.14098716,0.9348904,0.05487835,0.17218155,1.0257014,0.11300113,0.12982243,0.4503439
A1A2H5,1,True,True,0,0.0214931,0.08749552,0.54814863,0.026029943,0.18529993,1.2278214,0.033337988,0.05641747,0.26127246
A1ATG7,1,True,True,0,0.037041564,0.12705,0.72407615,0.014187229,0.085932545,0.63358027,0.03564358,0.058522437,0.28040928
A1B384,1,True,True,0,0.058668498,0.2140704,1.0649234,0.019781906,0.15520532,1.113291,0.0027672641,0.0074264747,0.058038007
A1BF00,1,True,True,0,0.0135383895,0.077195145,0.50659275,0.04463062,0.32004392,2.154604,0.12801827,0.14281118,0.46632197
A1KAV7,1,True,True,0,0.042389527,0.13723649,0.7282363,0.010793713,0.095908225,0.76025295,0.0025853715,0.0057242033,0.045395356
A1KJ17,1,True,True,0,0.025167942,0.119625986,0.74916285,0.14735842,0.36039954,1.4519907,0.17175967,0.20880564,0.6523298
A1R559,1,True,True,0,0.025302486,0.09316518,0.5839577,0.28763065,0.5440588,2.1640677,0.10966229,0.18241501,0.6139446
A1SL60,1,True,True,0,0.038722087,0.1839535,1.0009972,0.031370807,0.16601223,1.0224346,0.01139027,0.024336865,0.1489219
A1T8W3,1,True,True,0,0.008510766,0.05321378,0.37382022,0.03202679,0.13708721,0.81326306,0.14917915,0.1688916,0.5378965
A1TKZ1,1,True,True,0,0.02776973,0.09196773,0.562145,0.054300796,0.44626105,2.8989034,0.012248131,0.017495729,0.10416146
