accession,l1_name,true_l4,true_l3,ec_raw,sequence_length,difficulty_bin,min_true_label_train_count,Fusion_ESM2_contact_hit_rate,Fusion_ESM2_contact_top1_hit_rate,Fusion_ESM2_contact_sample_f1_mean,B1_ESM2_only_hit_rate,B3_contact_only_hit_rate,priority
P43418,Hydrolases,3.1.21.4,3.1.21,3.1.21.4,488,26-100,95,1.0,1.0,0.7777777777777777,0.0,0.0,6
P0A459,Hydrolases,3.1.21.4,3.1.21,3.1.21.4,254,26-100,95,1.0,1.0,0.7777777777777777,0.0,0.0,6
P0A460,Hydrolases,3.1.21.4,3.1.21,3.1.21.4,254,26-100,95,1.0,1.0,0.7777777777777777,0.0,0.0,6
Q8N8A6,Hydrolases,3.6.4.13,3.6.4,3.6.4.13,666,26-100,73,1.0,0.6666667,0.5555555555555555,0.0,0.0,6
Q9ZFH0,Isomerases,5.1.3.37,5.1.3,5.1.3.37,874,6-25,7,0.6666667,1.0,0.5555555555555555,0.0,0.0,6
Q9CB92,Lyases,4.2.99.18,4.2.99,4.2.99.18,245,26-100,54,0.6666667,0.6666667,0.3333333333333333,0.0,0.0,6
P63541,Lyases,4.2.99.18,4.2.99,4.2.99.18,245,26-100,54,0.6666667,0.33333334,0.3333333333333333,0.0,0.0,6
P9WQ10,Lyases,4.2.99.18,4.2.99,4.2.99.18,245,26-100,54,0.6666667,0.33333334,0.3333333333333333,0.0,0.0,6
P9WQ11,Lyases,4.2.99.18,4.2.99,4.2.99.18,245,26-100,54,0.6666667,0.33333334,0.3333333333333333,0.0,0.0,6
A5F3I6,Oxidoreductases,1.8.4.8,1.8.4,1.8.4.8,253,6-25,8,1.0,1.0,1.0,0.0,0.0,6
O65175,Oxidoreductases,1.15.1.1,1.15.1,1.15.1.1,216,26-100,36,1.0,1.0,1.0,0.0,0.0,6
O78310,Oxidoreductases,1.15.1.1,1.15.1,1.15.1.1,216,26-100,36,1.0,1.0,0.8888888888888888,0.0,0.0,6
P14831,Oxidoreductases,1.15.1.1,1.15.1,1.15.1.1,217,26-100,36,1.0,1.0,0.8888888888888888,0.0,0.0,6
P51040,Transferases,2.3.3.16,2.3.3,2.3.3.16,435,6-25,9,1.0,1.0,0.7777777777777777,0.0,0.0,6
P51041,Transferases,2.3.3.16,2.3.3,2.3.3.16,411,6-25,9,1.0,1.0,0.7777777777777777,0.0,0.0,6
Q59136,Transferases,2.3.3.16,2.3.3,2.3.3.16,411,6-25,9,1.0,1.0,0.7777777777777777,0.0,0.0,6
Q59734,Transferases,2.3.3.16,2.3.3,2.3.3.16,412,6-25,9,1.0,1.0,0.7777777777777777,0.0,0.0,6
P56600,Isomerases,5.1.3.2,5.1.3,5.1.3.2; 5.1.3.3,153,6-25,18,0.33333334,0.33333334,0.2222222222222222,0.0,0.0,4
P45602,Isomerases,5.1.3.2,5.1.3,5.1.3.2,139,26-100,69,0.33333334,0.33333334,0.3333333333333333,0.0,0.0,4
P46363,Ligases,6.3.4.15,6.3.4,6.3.4.15,302,1-5,5,0.33333334,1.0,0.3333333333333333,0.0,0.0,3
A5GPX1,Ligases,6.3.2.8,6.3.2,6.3.2.8,479,1-5,4,0.33333334,0.33333334,0.3333333333333333,0.0,0.0,3
A5I7S3,Ligases,6.3.2.8,6.3.2,6.3.2.8,458,1-5,4,0.33333334,0.33333334,0.3333333333333333,0.0,0.0,3
A6TJM2,Ligases,6.3.2.8,6.3.2,6.3.2.8,460,1-5,4,0.33333334,0.33333334,0.3333333333333333,0.0,0.0,3
Q54RC3,Isomerases,5.99.1.2,5.99.1,5.99.1.2,893,1-5,4,0.33333334,0.0,0.1666666666666666,0.0,0.0,2
