model,accession,threshold,l1_idx,l1,true_label_count,seen_label_count,has_unseen_label,min_train_count_of_true_labels,sample_f1,predicted_label_count
B1_ESM2_only,Q1MTQ0,0.05,1,2,1,1,False,849,1.0,1
B1_ESM2_only,Q5SSZ7,0.05,1,2,1,1,False,849,0.5,3
B1_ESM2_only,P18270,0.05,2,3,1,1,False,6,0.0,1
B1_ESM2_only,F1SVL1,0.05,0,1,1,1,False,9,0.0,2
B1_ESM2_only,Q2RJU5,0.05,0,1,1,1,False,2041,0.6666666666666666,2
B1_ESM2_only,F1ND48,0.05,2,3,1,1,False,983,0.0,1
B1_ESM2_only,Q9USU3,0.05,2,3,1,1,False,983,0.0,1
B1_ESM2_only,A0PSI5,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A0QGM8,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A1KJP9,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A1T9P9,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A1U1Q6,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A1UGU7,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A3Q0E7,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A4IN50,0.05,1,2,1,1,False,26,0.0,2
B1_ESM2_only,A4TAC4,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A4YM47,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A5U3K4,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,A5VS09,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A6UEL4,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A6UYU5,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A6WYD2,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A9BRF0,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A9IHH4,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A9M752,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,A9WWC9,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,B1MB69,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,B2HSY2,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,B2S793,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,B3PWJ0,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,B3QKU1,0.05,1,2,1,1,False,26,0.0,2
B1_ESM2_only,B5ZVA2,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,B7V467,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,B8ZSN3,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,B9JG75,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,B9JXY6,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,C0RES0,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,C0ZZZ0,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,C1APB4,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,C3MBD2,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,C5CJB5,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,C5D2K6,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,O05137,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,O32913,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,P0A5J5,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,P37330,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,P42450,0.05,1,2,1,1,False,26,0.0,2
B1_ESM2_only,P59663,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,P9WK16,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,P9WK17,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q02TT1,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q0A845,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q11BE3,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q13BC6,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q13YU3,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q1B860,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q1MNB0,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q1QHK3,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q1QSR0,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q2J0A5,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q2KE51,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q2YRK5,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q3K5N4,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q3SNX3,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q4K4S5,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q57BM8,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q5KZR8,0.05,1,2,1,1,False,26,0.0,2
B1_ESM2_only,Q5P811,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q5YWU1,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q6N234,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q73ZQ2,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q7VT71,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q7W294,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q7WR61,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q87Z72,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q88AB2,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q88QX8,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q89UE3,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q8FDN6,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q8FNB3,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q8FZ50,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q8UJ85,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q8YIR3,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q92TA4,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q937W7,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q98DK4,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q9AE55,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q9I636,0.05,1,2,1,1,False,26,0.0,0
B1_ESM2_only,Q9KB03,0.05,1,2,1,1,False,26,0.0,1
B1_ESM2_only,Q9VBX2,0.05,1,2,1,1,False,75,0.5,3
B1_ESM2_only,Q8BUH7,0.05,1,2,1,1,False,849,1.0,1
B1_ESM2_only,Q9BY78,0.05,1,2,1,1,False,849,1.0,1
B1_ESM2_only,A4HYT9,0.05,0,1,1,0,True,0,0.0,0
B1_ESM2_only,E9AIE8,0.05,0,1,1,0,True,0,0.0,0
B1_ESM2_only,Q4QCU9,0.05,0,1,1,0,True,0,0.0,0
B1_ESM2_only,A0AG18,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0JUZ5,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0K3V4,0.05,3,4,1,0,True,0,0.0,3
B1_ESM2_only,A0LBT6,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0LQG8,0.05,3,4,1,0,True,0,0.0,1
B1_ESM2_only,A0LTS3,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0PP16,0.05,3,4,1,0,True,0,0.0,1
B1_ESM2_only,A0PXP6,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0QHI0,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0QX83,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0RBL9,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A0RQ64,0.05,3,4,1,0,True,0,0.0,1
B1_ESM2_only,A0RZ75,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A1A2H5,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A1ATG7,0.05,3,4,1,0,True,0,0.0,1
B1_ESM2_only,A1B384,0.05,3,4,1,0,True,0,0.0,4
B1_ESM2_only,A1BF00,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A1KAV7,0.05,3,4,1,0,True,0,0.0,2
B1_ESM2_only,A1KJ17,0.05,3,4,1,0,True,0,0.0,1
B1_ESM2_only,A1R559,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A1SL60,0.05,3,4,1,0,True,0,0.0,2
B1_ESM2_only,A1T8W3,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A1TKZ1,0.05,3,4,1,0,True,0,0.0,1
B1_ESM2_only,A1U5H8,0.05,3,4,1,0,True,0,0.0,0
B1_ESM2_only,A1UHK6,0.05,3,4,1,0,True,0,0.0,0
